fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1213766,2024-08-30,1725043500,T. Léonard,Groupama Stadium,Décines-Charpieu,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,80,Lyon,95,Strasbourg,4.0,3.0,1.0,1.0,4.0,3.0,12.0,2.0,20.0,6.0,15.0,5.0,11.0,9.0,4.0,48.0,3.0,,5.0,412.0,339.0,82.0,8.0,2.0,15.0,5.0,12.0,3.0,6.0,2.0,2.0,52.0,2.0,,8.0,455.0,384.0,84.0
1213767,2024-08-31,1725116400,G. Angoula,Stade Francis-Le Blé,Brest,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,106,Stade Brestois 29,1063,Saint Etienne,4.0,0.0,2.0,0.0,4.0,0.0,9.0,8.0,22.0,5.0,18.0,4.0,12.0,7.0,2.0,47.0,,,,322.0,240.0,75.0,,4.0,6.0,2.0,2.0,4.0,28.0,2.0,4.0,53.0,5.0,,4.0,373.0,311.0,83.0
1213768,2024-08-31,1725123600,B. Millot,Stade de la Mosson-Mondial 98,Montpellier,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,82,Montpellier,83,Nantes,1.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,10.0,2.0,5.0,5.0,11.0,8.0,,69.0,2.0,,1.0,563.0,491.0,87.0,4.0,4.0,9.0,1.0,7.0,2.0,14.0,3.0,1.0,31.0,2.0,,3.0,257.0,191.0,74.0
1213773,2024-08-31,1725130800,S. Frappart,Stadium de Toulouse,Toulouse,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,96,Toulouse,81,Marseille,1.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,,2.0,1.0,10.0,2.0,,24.0,4.0,1.0,2.0,271.0,204.0,75.0,4.0,3.0,12.0,5.0,9.0,3.0,15.0,3.0,,76.0,2.0,,,877.0,814.0,93.0
1213765,2024-09-01,1725216300,B. Bastien,Decathlon Arena - Stade Pierre-Mauroy,Villeneuve d'Ascq,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,79,Lille,85,Paris Saint Germain,1.0,3.0,0.0,2.0,1.0,3.0,4.0,4.0,8.0,,6.0,2.0,9.0,3.0,5.0,42.0,3.0,,4.0,422.0,359.0,85.0,7.0,2.0,11.0,2.0,11.0,,9.0,1.0,2.0,58.0,2.0,,3.0,611.0,542.0,89.0
1213771,2024-09-01,1725202800,M. Bollengier,Stade Océane,Le Havre,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,111,Le Havre,108,Auxerre,3.0,1.0,1.0,1.0,3.0,1.0,8.0,9.0,22.0,5.0,13.0,9.0,10.0,2.0,4.0,49.0,1.0,,2.0,439.0,369.0,84.0,3.0,1.0,7.0,3.0,1.0,6.0,16.0,2.0,,51.0,5.0,1.0,6.0,453.0,386.0,85.0
1213772,2024-09-01,1725202800,M. Vernice,Stade Auguste-Delaune,Reims,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,93,Reims,94,Rennes,2.0,1.0,1.0,1.0,2.0,1.0,7.0,3.0,11.0,1.0,7.0,4.0,9.0,3.0,,53.0,2.0,,4.0,400.0,330.0,83.0,5.0,3.0,13.0,5.0,10.0,3.0,13.0,5.0,2.0,47.0,1.0,,5.0,350.0,281.0,80.0
1213769,2024-09-01,1725202800,J. Stinat,Stade Raymond Kopa,Angers,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,77,Angers,84,Nice,1.0,4.0,0.0,2.0,1.0,4.0,7.0,5.0,14.0,2.0,7.0,7.0,14.0,4.0,,54.0,6.0,,4.0,453.0,390.0,86.0,9.0,2.0,14.0,3.0,11.0,3.0,13.0,7.0,,46.0,4.0,1.0,6.0,381.0,315.0,83.0
1213770,2024-09-01,1725195600,W. Delajod,Stade Louis-II,Monaco,Match Finished,FT,61,Ligue 1,2024,Regular Season - 3,91,Monaco,116,Lens,1.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,14.0,5.0,6.0,8.0,11.0,7.0,2.0,61.0,1.0,,3.0,447.0,367.0,82.0,4.0,5.0,12.0,3.0,9.0,3.0,21.0,7.0,1.0,39.0,4.0,,2.0,267.0,200.0,75.0
1213780,2024-09-13,1726253100,F. Letexier,Stade Geoffroy-Guichard,Saint-Ètienne,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,1063,Saint Etienne,79,Lille,1.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,10.0,,5.0,5.0,12.0,2.0,3.0,29.0,1.0,,4.0,282.0,206.0,73.0,4.0,8.0,17.0,5.0,11.0,6.0,10.0,7.0,1.0,71.0,1.0,,4.0,691.0,608.0,88.0
1213774,2024-09-14,1726333200,A. Kherradji,Stade de l'Abbé Deschamps,Auxerre,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,108,Auxerre,91,Monaco,0.0,3.0,0.0,2.0,0.0,3.0,3.0,6.0,13.0,4.0,4.0,9.0,13.0,1.0,1.0,41.0,3.0,,6.0,404.0,321.0,79.0,9.0,4.0,19.0,6.0,17.0,2.0,16.0,6.0,3.0,59.0,,,3.0,587.0,482.0,82.0
1213782,2024-09-14,1726340400,C. Turpin,Parc des Princes,Paris,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,85,Paris Saint Germain,106,Stade Brestois 29,3.0,1.0,1.0,1.0,3.0,1.0,9.0,7.0,22.0,6.0,13.0,9.0,7.0,9.0,3.0,67.0,2.0,,2.0,679.0,623.0,92.0,3.0,,5.0,2.0,2.0,3.0,13.0,1.0,1.0,33.0,3.0,,6.0,333.0,253.0,76.0
1213781,2024-09-14,1726326000,B. Millot,Orange Vélodrome,Marseille,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,81,Marseille,84,Nice,2.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,10.0,2.0,5.0,5.0,18.0,1.0,1.0,56.0,5.0,1.0,4.0,499.0,424.0,85.0,4.0,5.0,12.0,3.0,10.0,2.0,4.0,2.0,5.0,44.0,2.0,,3.0,385.0,329.0,85.0
1213779,2024-09-15,1726412400,H. Ben El Hadj,Stade de la Meinau,Strasbourg,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,95,Strasbourg,77,Angers,1.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,10.0,1.0,7.0,3.0,11.0,6.0,,51.0,4.0,,1.0,469.0,401.0,86.0,2.0,5.0,12.0,5.0,7.0,5.0,14.0,9.0,1.0,49.0,1.0,,4.0,432.0,353.0,82.0
1213777,2024-09-15,1726412400,W. Delajod,Stade de la Beaujoire - Louis Fonteneau,Nantes,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,83,Nantes,93,Reims,1.0,2.0,1.0,1.0,1.0,2.0,6.0,5.0,18.0,7.0,12.0,6.0,14.0,6.0,2.0,45.0,3.0,,2.0,456.0,399.0,88.0,4.0,5.0,11.0,2.0,7.0,4.0,5.0,3.0,2.0,55.0,1.0,,5.0,582.0,525.0,90.0
1213776,2024-09-15,1726425900,B. Dechepy,Stade Bollaert-Delelis,Lens,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,116,Lens,80,Lyon,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,12.0,1.0,8.0,4.0,12.0,5.0,4.0,54.0,,,3.0,492.0,404.0,82.0,3.0,1.0,8.0,4.0,4.0,4.0,11.0,8.0,3.0,46.0,,,4.0,421.0,321.0,76.0
1213775,2024-09-15,1726405200,J. Pignard,Roazhon Park,Rennes,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,94,Rennes,82,Montpellier,3.0,0.0,2.0,0.0,3.0,0.0,6.0,5.0,11.0,,7.0,4.0,10.0,3.0,1.0,51.0,1.0,,4.0,452.0,403.0,89.0,4.0,4.0,12.0,4.0,3.0,9.0,7.0,4.0,3.0,49.0,3.0,,3.0,444.0,387.0,87.0
1213778,2024-09-15,1726412400,E. Wattellier,Stadium de Toulouse,Toulouse,Match Finished,FT,61,Ligue 1,2024,Regular Season - 4,96,Toulouse,111,Le Havre,2.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,15.0,4.0,12.0,3.0,10.0,6.0,,54.0,1.0,,3.0,520.0,427.0,82.0,3.0,1.0,5.0,1.0,1.0,4.0,11.0,5.0,,46.0,1.0,,4.0,438.0,352.0,80.0
1213784,2024-09-20,1726857900,T. Léonard,Allianz Riviera,Nice,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,84,Nice,1063,Saint Etienne,8.0,0.0,6.0,0.0,8.0,0.0,12.0,3.0,18.0,3.0,14.0,4.0,7.0,3.0,3.0,59.0,,,2.0,673.0,618.0,92.0,2.0,4.0,8.0,2.0,5.0,3.0,13.0,2.0,,41.0,1.0,,5.0,456.0,389.0,85.0
1213790,2024-09-21,1726938000,J. Stinat,Roazhon Park,Rennes,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,94,Rennes,116,Lens,1.0,1.0,1.0,0.0,1.0,1.0,6.0,3.0,11.0,2.0,7.0,4.0,16.0,4.0,1.0,40.0,2.0,,1.0,336.0,231.0,69.0,2.0,3.0,10.0,5.0,5.0,5.0,20.0,3.0,3.0,60.0,4.0,,5.0,492.0,383.0,78.0
1213789,2024-09-21,1726930800,J. Brisard,Decathlon Arena - Stade Pierre-Mauroy,Villeneuve d'Ascq,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,79,Lille,95,Strasbourg,3.0,3.0,2.0,2.0,3.0,3.0,7.0,6.0,15.0,2.0,10.0,5.0,16.0,9.0,4.0,64.0,2.0,,7.0,565.0,499.0,88.0,9.0,,12.0,3.0,11.0,1.0,12.0,5.0,2.0,36.0,2.0,,4.0,327.0,262.0,80.0
1213785,2024-09-21,1726945200,J. Pignard,Stade Auguste-Delaune,Reims,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,93,Reims,85,Paris Saint Germain,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,8.0,4.0,5.0,3.0,11.0,3.0,1.0,22.0,2.0,,3.0,219.0,159.0,73.0,4.0,5.0,11.0,2.0,9.0,2.0,6.0,5.0,1.0,78.0,1.0,,,808.0,757.0,94.0
1213787,2024-09-22,1727017200,M. Vernice,Stade Raymond Kopa,Angers,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,77,Angers,83,Nantes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,13.0,3.0,,50.0,1.0,,2.0,480.0,402.0,84.0,3.0,2.0,9.0,4.0,7.0,2.0,16.0,6.0,,50.0,4.0,,,473.0,390.0,82.0
1213788,2024-09-22,1727017200,H. Ben El Hadj,Stade de la Mosson-Mondial 98,Montpellier,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,82,Montpellier,108,Auxerre,3.0,2.0,0.0,1.0,3.0,2.0,5.0,5.0,14.0,4.0,10.0,4.0,13.0,11.0,4.0,54.0,3.0,,3.0,410.0,324.0,79.0,6.0,3.0,11.0,2.0,10.0,1.0,20.0,5.0,1.0,46.0,4.0,,1.0,367.0,289.0,79.0
1213783,2024-09-22,1727030700,B. Bastien,Groupama Stadium,Décines-Charpieu,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,80,Lyon,81,Marseille,2.0,3.0,0.0,0.0,2.0,3.0,9.0,9.0,22.0,4.0,16.0,6.0,17.0,10.0,3.0,63.0,4.0,,1.0,503.0,444.0,88.0,5.0,2.0,9.0,2.0,5.0,4.0,8.0,3.0,4.0,37.0,3.0,1.0,6.0,311.0,242.0,78.0
1213791,2024-09-22,1727010000,S. Frappart,Stade Louis-II,Monaco,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,91,Monaco,111,Le Havre,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,12.0,4.0,8.0,4.0,10.0,6.0,5.0,62.0,1.0,,,493.0,420.0,85.0,2.0,3.0,8.0,3.0,4.0,4.0,17.0,4.0,3.0,38.0,3.0,,1.0,302.0,223.0,74.0
1213786,2024-09-22,1727017200,F. Batta,Stade Francis-Le Blé,Brest,Match Finished,FT,61,Ligue 1,2024,Regular Season - 5,106,Stade Brestois 29,96,Toulouse,2.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,8.0,2.0,4.0,4.0,15.0,4.0,,43.0,1.0,,1.0,362.0,269.0,74.0,1.0,9.0,11.0,1.0,10.0,1.0,18.0,3.0,,57.0,1.0,,3.0,473.0,377.0,80.0
1213793,2024-09-27,1727463600,H. Ben El Hadj,Parc des Princes,Paris,Match Finished,FT,61,Ligue 1,2024,Regular Season - 6,85,Paris Saint Germain,94,Rennes,3.0,1.0,1.0,0.0,3.0,1.0,8.0,8.0,23.0,7.0,14.0,9.0,12.0,6.0,5.0,62.0,1.0,,4.0,638.0,565.0,89.0,5.0,3.0,12.0,4.0,5.0,7.0,13.0,4.0,1.0,38.0,3.0,,4.0,389.0,319.0,82.0
1213794,2024-09-27,1727456400,J. Stinat,Stade de l'Abbé Deschamps,Auxerre,Match Finished,FT,61,Ligue 1,2024,Regular Season - 6,108,Auxerre,106,Stade Brestois 29,3.0,0.0,2.0,0.0,3.0,0.0,4.0,6.0,15.0,5.0,10.0,5.0,13.0,2.0,2.0,38.0,2.0,,4.0,296.0,204.0,69.0,4.0,4.0,8.0,,6.0,2.0,16.0,3.0,1.0,62.0,,,1.0,507.0,418.0,82.0
1213799,2024-09-28,1727550000,M. Bollengier,Stade Louis-II,Monaco,Match Finished,FT,61,Ligue 1,2024,Regular Season - 6,91,Monaco,82,Montpellier,2.0,1.0,1.0,1.0,2.0,1.0,7.0,10.0,21.0,4.0,18.0,3.0,17.0,6.0,2.0,65.0,4.0,,2.0,526.0,451.0,86.0,4.0,3.0,9.0,2.0,4.0,5.0,17.0,2.0,2.0,35.0,3.0,1.0,4.0,277.0,192.0,69.0
1213797,2024-09-28,1727542800,B. Dechepy,Stade Océane,Le Havre,Match Finished,FT,61,Ligue 1,2024,Regular Season - 6,111,Le Havre,79,Lille,0.0,3.0,0.0,2.0,0.0,3.0,4.0,3.0,7.0,,3.0,4.0,11.0,1.0,1.0,38.0,2.0,,8.0,383.0,313.0,82.0,10.0,3.0,18.0,5.0,13.0,5.0,9.0,5.0,3.0,62.0,1.0,,4.0,639.0,574.0,90.0
1213795,2024-09-28,1727535600,F. Letexier,Stade Bollaert-Delelis,Lens,Match Finished,FT,61,Ligue 1,2024,Regular Season - 6,116,Lens,84,Nice,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,22.0,5.0,15.0,7.0,16.0,11.0,1.0,55.0,3.0,1.0,4.0,452.0,381.0,84.0,4.0,3.0,15.0,8.0,9.0,6.0,7.0,4.0,1.0,45.0,2.0,,6.0,375.0,301.0,80.0
1213792,2024-09-29,1727635500,W. Delajod,Stade de la Meinau,Strasbourg,Match Finished,FT,61,Ligue 1,2024,Regular Season - 6,95,Strasbourg,81,Marseille,1.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,14.0,2.0,8.0,6.0,17.0,8.0,1.0,41.0,2.0,,3.0,381.0,316.0,83.0,3.0,5.0,10.0,2.0,5.0,5.0,7.0,3.0,4.0,59.0,1.0,,5.0,557.0,485.0,87.0
