fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1223975,2024-08-23T18:30:00+00:00,1724437800,R. Schröder,BORUSSIA-PARK,Mönchengladbach,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,163,Borussia Mönchengladbach,168,Bayer Leverkusen,2,3,0,2,2,3,7.0,2.0,14.0,5.0,10.0,4.0,11,2.0,2.0,42.0,1.0,,7.0,443,366,83.0,10.0,8.0,25,7.0,16,9.0,7,4.0,,58.0,,,5.0,612,528,86.0
1223979,2024-08-24T13:30:00+00:00,1724506200,T. Welz,Europa-Park Stadion,Freiburg im Breisgau,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,160,SC Freiburg,172,VfB Stuttgart,3,1,1,1,3,1,6.0,5.0,16.0,5.0,10.0,6.0,7,6.0,3.0,33.0,2.0,,1.0,309,236,76.0,2.0,5.0,9,2.0,3,6.0,10,3.0,,67.0,1.0,,2.0,646,571,88.0
1223982,2024-08-24T13:30:00+00:00,1724506200,H. Osmers,MEWA ARENA,Mainz,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,164,FSV Mainz 05,182,Union Berlin,1,1,0,0,1,1,3.0,8.0,14.0,3.0,12.0,2.0,10,8.0,1.0,54.0,1.0,,4.0,377,295,78.0,5.0,6.0,15,4.0,7,8.0,15,9.0,1.0,46.0,3.0,,3.0,320,231,72.0
1223978,2024-08-24T13:30:00+00:00,1724506200,T. Stieler,PreZero Arena,Sinsheim,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,167,1899 Hoffenheim,191,Holstein Kiel,3,2,2,0,3,2,8.0,8.0,21.0,5.0,14.0,7.0,8,8.0,2.0,55.0,2.0,,4.0,460,385,84.0,6.0,7.0,17,4.0,11,6.0,14,6.0,1.0,45.0,3.0,1.0,5.0,382,304,80.0
1223980,2024-08-24T13:30:00+00:00,1724506200,S. Stegemann,WWK Arena,Augsburg,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,170,FC Augsburg,162,Werder Bremen,2,2,2,1,2,2,3.0,6.0,11.0,2.0,8.0,3.0,11,4.0,1.0,45.0,3.0,,3.0,378,308,81.0,5.0,3.0,11,3.0,10,1.0,10,2.0,2.0,55.0,1.0,,1.0,461,387,84.0
1223976,2024-08-24T13:30:00+00:00,1724506200,B. Brand,Red Bull Arena,Leipzig,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,173,RB Leipzig,176,VfL Bochum,1,0,0,0,1,0,3.0,5.0,13.0,5.0,10.0,3.0,9,9.0,3.0,63.0,1.0,1.0,3.0,505,412,82.0,4.0,,10,6.0,6,4.0,16,3.0,2.0,37.0,3.0,,2.0,301,213,71.0
1223977,2024-08-24T16:30:00+00:00,1724517000,F. Zwayer,SIGNAL IDUNA PARK,Dortmund,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,165,Borussia Dortmund,169,Eintracht Frankfurt,2,0,0,0,2,0,5.0,7.0,20.0,8.0,13.0,7.0,6,7.0,,70.0,,,2.0,707,644,91.0,2.0,4.0,7,1.0,4,3.0,3,7.0,1.0,30.0,1.0,,3.0,293,244,83.0
1223981,2024-08-25T13:30:00+00:00,1724592600,D. Siebert,Volkswagen Arena,Wolfsburg,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,161,VfL Wolfsburg,157,Bayern München,2,3,0,1,2,3,2.0,6.0,10.0,2.0,7.0,3.0,12,1.0,3.0,29.0,2.0,,6.0,248,170,69.0,8.0,2.0,15,5.0,14,1.0,11,7.0,1.0,71.0,3.0,,,609,520,85.0
1223983,2024-08-25T15:30:00+00:00,1724599800,S. Jablonski,Millerntor-Stadion,Hamburg,Match Finished,FT,78,Bundesliga,2024,Regular Season - 1,186,FC St. Pauli,180,1. FC Heidenheim,0,2,0,0,0,2,3.0,7.0,11.0,1.0,6.0,5.0,9,4.0,1.0,61.0,2.0,,1.0,545,439,81.0,3.0,2.0,5,,3,2.0,15,2.0,,39.0,3.0,,3.0,350,246,70.0
1223990,2024-08-30T18:30:00+00:00,1725042600,B. Dankert,Stadion An der Alten Försterei,Berlin,Match Finished,FT,78,Bundesliga,2024,Regular Season - 2,182,Union Berlin,186,FC St. Pauli,1,0,1,0,1,0,5.0,5.0,11.0,1.0,5.0,6.0,10,5.0,2.0,39.0,3.0,,1.0,367,272,74.0,1.0,4.0,8,3.0,5,3.0,11,4.0,3.0,61.0,1.0,,4.0,591,464,79.0
1223992,2024-08-31T13:30:00+00:00,1725111000,F. Exner,Holstein-Stadion,Kiel,Match Finished,FT,78,Bundesliga,2024,Regular Season - 2,191,Holstein Kiel,161,VfL Wolfsburg,0,2,0,2,0,2,5.0,6.0,13.0,2.0,7.0,6.0,17,1.0,2.0,54.0,4.0,,2.0,412,339,82.0,5.0,4.0,13,4.0,7,6.0,14,7.0,1.0,46.0,7.0,,5.0,332,246,74.0
1223991,2024-08-31T13:30:00+00:00,1725111000,S. Storks,Vonovia Ruhrstadion,Bochum,Match Finished,FT,78,Bundesliga,2024,Regular Season - 2,176,VfL Bochum,163,Borussia Mönchengladbach,0,2,0,0,0,2,4.0,8.0,15.0,3.0,6.0,9.0,9,3.0,1.0,39.0,1.0,,3.0,355,267,75.0,6.0,5.0,15,4.0,12,3.0,10,4.0,2.0,61.0,,,4.0,577,485,84.0
