fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1234633,2024-08-18,1724005800,A. Prontera,Orogel Stadium-Dino Manuzzi,Cesena,Match Finished,FT,136,Serie B,2024,Regular Season - 1,509,Cesena,1581,Carrarese,2,1,2.0,0.0,2.0,1.0,8.0,4.0,14.0,2.0,10.0,4.0,14.0,1.0,1.0,42.0,3.0,,3.0,415.0,325.0,78.0,4.0,6.0,10.0,,5.0,5.0,13.0,2.0,1.0,58.0,1.0,,6.0,577.0,476.0,82.0
1234635,2024-08-18,1724005800,R. Abisso,Stadio Benito Stirpe,Frosinone,Match Finished,FT,136,Serie B,2024,Regular Season - 1,512,Frosinone,498,Sampdoria,2,2,1.0,0.0,2.0,2.0,12.0,3.0,19.0,4.0,12.0,7.0,13.0,4.0,,46.0,2.0,,2.0,377.0,296.0,79.0,4.0,9.0,17.0,4.0,6.0,11.0,10.0,4.0,3.0,54.0,2.0,1.0,10.0,447.0,371.0,83.0
1234637,2024-08-18,1724005800,A. Arena,MAPEI Stadium - Città del Tricolore,Reggio Emilia,Match Finished,FT,136,Serie B,2024,Regular Season - 1,880,Reggiana,1693,Mantova,2,2,0.0,0.0,2.0,2.0,6.0,2.0,12.0,4.0,4.0,8.0,26.0,3.0,2.0,30.0,5.0,,2.0,262.0,206.0,79.0,3.0,8.0,12.0,1.0,8.0,4.0,9.0,1.0,,70.0,1.0,,4.0,615.0,540.0,88.0
1234632,2024-08-18,1724005800,M. Piccinini,Stadio Nicola Ceravolo,Catanzaro,Match Finished,FT,136,Serie B,2024,Regular Season - 1,1687,Catanzaro,488,Sassuolo,1,1,0.0,1.0,1.0,1.0,4.0,5.0,9.0,,6.0,3.0,7.0,3.0,2.0,50.0,3.0,,5.0,471.0,411.0,87.0,6.0,4.0,12.0,2.0,5.0,7.0,11.0,7.0,1.0,50.0,4.0,,3.0,467.0,412.0,88.0
1234634,2024-08-18,1724005800,K. Bonacina,Stadio San Vito-Luigi Marulla,Cosenza,Match Finished,FT,136,Serie B,2024,Regular Season - 1,10137,Cosenza,520,Cremonese,1,0,1.0,0.0,1.0,0.0,5.0,8.0,14.0,1.0,11.0,3.0,16.0,4.0,3.0,33.0,3.0,,1.0,264.0,181.0,69.0,1.0,4.0,7.0,2.0,6.0,1.0,11.0,8.0,2.0,67.0,2.0,,5.0,532.0,443.0,83.0
1234644,2024-08-23,1724437800,G. Scatena,Stadio Alberto Braglia,Modena,Match Finished,FT,136,Serie B,2024,Regular Season - 2,899,Modena,508,Bari,2,1,1.0,1.0,2.0,1.0,5.0,7.0,16.0,4.0,11.0,5.0,14.0,4.0,,42.0,4.0,,4.0,300.0,227.0,76.0,5.0,7.0,14.0,2.0,8.0,6.0,20.0,5.0,1.0,58.0,4.0,,3.0,406.0,349.0,86.0
1234645,2024-08-24,1724524200,A. Colombo,Arena Garibaldi - Stadio Romeo Anconetani,Pisa,Match Finished,FT,136,Serie B,2024,Regular Season - 2,801,Pisa,522,Palermo,2,0,1.0,0.0,2.0,0.0,4.0,5.0,11.0,2.0,7.0,4.0,20.0,6.0,2.0,34.0,2.0,,4.0,243.0,165.0,68.0,4.0,8.0,16.0,4.0,12.0,4.0,8.0,7.0,,66.0,2.0,,3.0,479.0,415.0,87.0
1234640,2024-08-24,1724524200,S. Galipò,Stadio Mario Rigamonti,Brescia,Match Finished,FT,136,Serie B,2024,Regular Season - 2,518,Brescia,510,Cittadella,0,1,0.0,0.0,0.0,1.0,7.0,9.0,22.0,6.0,17.0,5.0,9.0,5.0,2.0,59.0,2.0,,2.0,443.0,368.0,83.0,3.0,10.0,16.0,3.0,7.0,9.0,17.0,4.0,,41.0,4.0,1.0,7.0,306.0,230.0,75.0
1234648,2024-08-24,1724524200,I. Pezzuto,Stadio Alberto Picco,La Spezia,Match Finished,FT,136,Serie B,2024,Regular Season - 2,515,Spezia,512,Frosinone,2,1,0.0,1.0,2.0,1.0,6.0,3.0,13.0,4.0,10.0,3.0,20.0,5.0,1.0,52.0,2.0,,2.0,343.0,261.0,76.0,3.0,4.0,8.0,1.0,3.0,5.0,21.0,7.0,1.0,48.0,6.0,,3.0,323.0,234.0,72.0
1234642,2024-08-24,1724524200,D. Ghersini,Stadio Giovanni Zini,Cremona,Match Finished,FT,136,Serie B,2024,Regular Season - 2,520,Cremonese,1581,Carrarese,1,0,0.0,0.0,1.0,0.0,4.0,7.0,16.0,5.0,10.0,6.0,14.0,5.0,,63.0,2.0,1.0,3.0,544.0,451.0,83.0,3.0,4.0,10.0,3.0,5.0,5.0,7.0,5.0,4.0,37.0,3.0,1.0,3.0,314.0,241.0,77.0
1234647,2024-08-24,1724524200,L. Massimi,MAPEI Stadium - Città del Tricolore,Reggio Emilia,Match Finished,FT,136,Serie B,2024,Regular Season - 2,488,Sassuolo,509,Cesena,2,1,1.0,0.0,2.0,1.0,6.0,4.0,13.0,3.0,8.0,5.0,14.0,3.0,,37.0,3.0,,5.0,350.0,270.0,77.0,6.0,9.0,23.0,8.0,14.0,9.0,12.0,9.0,1.0,63.0,2.0,,4.0,589.0,506.0,86.0
1234649,2024-08-24,1724520600,D. Perenzoni,Stadio Marco Druso,Bozen,Match Finished,FT,136,Serie B,2024,Regular Season - 2,1578,Sudtirol,514,Salernitana,3,2,2.0,1.0,3.0,2.0,7.0,6.0,17.0,4.0,14.0,3.0,9.0,5.0,,40.0,1.0,,1.0,372.0,303.0,81.0,3.0,5.0,9.0,1.0,5.0,4.0,16.0,5.0,,60.0,1.0,,4.0,566.0,497.0,88.0
