fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1252419,2024-08-22,1724343000,Abdallah Dafar,Al Taawon Club Stadium,Buraidah,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2936,Al Taawon,2944,Al-Fayha,1,0,0,0,1,0,4.0,3.0,10.0,3.0,6.0,4.0,7,1.0,2.0,64.0,1.0,1.0,3.0,555,477,86.0,3.0,4.0,8,1.0,5.0,3.0,9,3.0,1.0,36.0,3.0,,3.0,321,237,74.0
1252420,2024-08-22,1724349600,Mohammed Al Esmaiel,King Abdulaziz Sports City Stadium,Mecca,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2937,Al Wehda Club,10511,Al Riyadh,3,3,1,0,3,3,7.0,6.0,17.0,4.0,11.0,6.0,14,4.0,1.0,60.0,2.0,,,450,381,85.0,3.0,3.0,6,,4.0,2.0,7,7.0,3.0,40.0,2.0,1.0,4.0,295,237,80.0
1252421,2024-08-22,1724349600,Khalid Al Turais,Al Awal Park at King Saud University,Riyadh,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2939,Al-Nassr,2935,Al-Raed,1,1,1,0,1,1,8.0,13.0,28.0,7.0,20.0,8.0,12,13.0,2.0,72.0,3.0,,4.0,619,553,89.0,5.0,1.0,7,1.0,6.0,1.0,10,1.0,4.0,28.0,5.0,,7.0,252,180,71.0
1252422,2024-08-23,1724429400,Abdullah Al-Kharbosh,Dhamak Club Stadium,Khamis Mushait,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2956,Damac,2928,Al Khaleej Saihat,0,1,0,1,0,1,2.0,12.0,19.0,5.0,8.0,11.0,9,5.0,2.0,57.0,2.0,,1.0,469,401,86.0,1.0,3.0,5,1.0,3.0,2.0,13,1.0,1.0,43.0,3.0,,2.0,369,277,75.0
1252423,2024-08-23,1724436000,Sami Al Jires,King Abdullah Sports City,Jeddah,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2929,Al-Ahli Jeddah,2961,Al Orubah,2,0,1,0,2,0,6.0,11.0,24.0,7.0,14.0,10.0,13,4.0,1.0,68.0,1.0,,2.0,551,495,90.0,2.0,5.0,8,1.0,2.0,6.0,5,1.0,,32.0,3.0,,4.0,262,194,74.0
1252424,2024-08-23,1724436000,Ahmad Al Rumaikhani,Prince Mohamed bin Fahd Stadium,Dammam,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2933,Al-Qadisiyah FC,2931,Al-Fateh,3,0,1,0,3,0,5.0,4.0,14.0,5.0,10.0,4.0,14,9.0,1.0,50.0,2.0,,3.0,404,357,88.0,3.0,1.0,4,,2.0,2.0,9,4.0,1.0,50.0,,,3.0,414,364,88.0
1252425,2024-08-24,1724515800,Faisal Alblwi,King Abdullah Sport City Stadium,Buraidah,Match Finished,FT,307,Pro League,2024,Regular Season - 1,10509,Al Kholood,2938,Al-Ittihad FC,0,1,0,0,0,1,2.0,2.0,11.0,7.0,5.0,6.0,11,4.0,4.0,34.0,1.0,,,279,216,77.0,1.0,6.0,11,4.0,10.0,1.0,18,5.0,1.0,66.0,1.0,,1.0,553,483,87.0
1252426,2024-08-24,1724522400,F. San,Prince Hathloul Bin Abdul Aziz Sport City Stadium,Najran,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2977,Al Akhdoud,2932,Al-Hilal Saudi FC,0,3,0,3,0,3,,4.0,5.0,1.0,1.0,4.0,13,1.0,5.0,32.0,3.0,,3.0,279,217,78.0,6.0,5.0,12,1.0,9.0,3.0,7,1.0,3.0,68.0,,,,585,519,89.0
1252427,2024-08-24,1724522400,Majed Alshamrani,Al-Shabab Club Stadium,Riyadh,Match Finished,FT,307,Pro League,2024,Regular Season - 1,2940,Al Shabab,2934,Al-Ettifaq,0,1,0,0,0,1,4.0,5.0,9.0,,5.0,4.0,13,4.0,3.0,60.0,,,1.0,492,423,86.0,2.0,3.0,6,1.0,4.0,2.0,12,3.0,2.0,40.0,2.0,,4.0,317,252,79.0
1252428,2024-08-27,1724773500,Abdallah Dafar,Al Fateh Club Stadium,Al-Hasa,Match Finished,FT,307,Pro League,2024,Regular Season - 2,2931,Al-Fateh,2929,Al-Ahli Jeddah,1,0,0,0,1,0,3.0,2.0,9.0,4.0,2.0,7.0,9,4.0,1.0,43.0,1.0,,5.0,305,240,79.0,5.0,1.0,9,3.0,4.0,5.0,9,4.0,5.0,57.0,2.0,,2.0,412,337,82.0
