fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1217503,2024-08-19,1724092200,Oliver De La Fuente,Estadio Municipal Nuevo Pepico Amat,Elda,Match Finished,FT,141,Segunda División,2024,Regular Season - 1,9692,Eldense,719,Tenerife,2.0,1.0,0.0,0.0,2.0,1.0,4.0,6.0,14.0,4.0,7.0,7.0,10.0,7.0,,47.0,1.0,,4.0,302.0,206.0,68.0,5.0,5.0,12.0,2.0,7.0,5.0,15.0,2.0,2.0,53.0,3.0,,1.0,344.0,248.0,72.0
1217519,2024-08-23,1724432400,José Sánchez,Campos de Sport de El Sardinero,Santander,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,4665,Racing Santander,545,Eibar,2.0,2.0,0.0,1.0,2.0,2.0,7.0,4.0,14.0,3.0,10.0,4.0,10.0,7.0,1.0,56.0,3.0,,1.0,484.0,368.0,76.0,3.0,8.0,15.0,4.0,11.0,4.0,13.0,5.0,3.0,44.0,2.0,,4.0,390.0,279.0,72.0
1217518,2024-08-23,1724441400,Iosu Galech,Estadio El Alcoraz,Huesca,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,726,Huesca,544,Deportivo La Coruna,2.0,1.0,1.0,0.0,2.0,1.0,5.0,5.0,11.0,1.0,8.0,3.0,12.0,3.0,2.0,42.0,4.0,,3.0,339.0,256.0,76.0,4.0,6.0,13.0,3.0,6.0,7.0,5.0,11.0,1.0,58.0,,,3.0,466.0,391.0,84.0
1217520,2024-08-24,1724511600,Manuel Pérez,Estadio Municipal El Molinón,Gijón,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,731,Sporting Gijon,9692,Eldense,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,18.0,4.0,16.0,2.0,10.0,6.0,,57.0,2.0,,4.0,452.0,362.0,80.0,4.0,7.0,11.0,,8.0,3.0,6.0,6.0,,43.0,2.0,,4.0,346.0,251.0,73.0
1217513,2024-08-24,1724511600,Andrés Fuentes,Estadio Municipal de A Malata,Ferrol,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,9409,Racing Ferrol,715,Granada CF,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,15.0,3.0,10.0,5.0,12.0,7.0,2.0,47.0,2.0,,5.0,335.0,242.0,72.0,6.0,4.0,11.0,1.0,10.0,1.0,17.0,7.0,1.0,53.0,3.0,,2.0,402.0,313.0,78.0
1217517,2024-08-24,1724518800,Rubén Ávalos,Estadio Ciudad de Valencia,Valencia,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,539,Levante,724,Cadiz,1.0,1.0,0.0,0.0,1.0,1.0,6.0,8.0,16.0,2.0,13.0,3.0,14.0,6.0,2.0,44.0,2.0,,6.0,339.0,275.0,81.0,7.0,6.0,14.0,1.0,11.0,3.0,15.0,4.0,1.0,56.0,5.0,,5.0,415.0,343.0,83.0
1217515,2024-08-24,1724527800,Rafael Sánchez,Estadio Heliodoro Rodríguez Lopéz,Tenerife,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,719,Tenerife,723,Almeria,0.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,11.0,,7.0,4.0,10.0,4.0,5.0,41.0,,1.0,1.0,305.0,226.0,74.0,2.0,7.0,20.0,11.0,11.0,9.0,9.0,8.0,2.0,59.0,2.0,,5.0,440.0,365.0,83.0
1217514,2024-08-24,1724527800,Sergiu Muresan,Estadio La Rosaleda,Málaga,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,535,Malaga,799,Mirandes,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,4.0,2.0,18.0,2.0,,68.0,2.0,,2.0,499.0,433.0,87.0,3.0,3.0,8.0,2.0,4.0,4.0,22.0,2.0,2.0,32.0,3.0,,1.0,238.0,167.0,70.0
1217510,2024-08-25,1724605200,Manuel Orellana,Estadio Carlos Belmonte,Albacete,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,722,Albacete,797,Elche,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,,3.0,5.0,14.0,,,21.0,2.0,,4.0,209.0,152.0,73.0,4.0,4.0,16.0,8.0,8.0,8.0,7.0,8.0,1.0,79.0,1.0,,1.0,802.0,750.0,94.0
1217512,2024-08-25,1724614200,Jon González,Nou Estadi Castalia,Castellón de la Plana,Match Finished,FT,141,Segunda División,2024,Regular Season - 2,5254,Castellón,718,Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,17.0,5.0,14.0,3.0,12.0,10.0,5.0,59.0,,,,441.0,345.0,78.0,,5.0,6.0,1.0,3.0,3.0,14.0,3.0,,41.0,2.0,,5.0,306.0,211.0,69.0
