fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1237860,2024-08-18,1723997700,A. Kardeşler,Başakşehir Fatih Terim Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 2,564,Istanbul Basaksehir,996,Alanyaspor,4.0,2.0,1.0,2.0,4.0,2.0,7.0,3.0,11.0,1.0,8.0,3.0,17.0,4.0,1.0,47.0,4.0,,1.0,405.0,342.0,84.0,3.0,5.0,13.0,5.0,8.0,5.0,11.0,4.0,,53.0,3.0,,3.0,458.0,391.0,85.0
1237865,2024-08-18,1724006700,M. Türkmen,Tüpraş Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 2,549,Besiktas,1005,Antalyaspor,4.0,2.0,2.0,1.0,4.0,2.0,6.0,5.0,14.0,3.0,10.0,4.0,17.0,3.0,5.0,56.0,4.0,,1.0,401.0,336.0,84.0,3.0,2.0,7.0,2.0,5.0,2.0,13.0,,2.0,44.0,1.0,1.0,1.0,324.0,241.0,74.0
1237859,2024-08-18,1724006700,E. Kargın,Kalyon Stadyumu,Gaziantep,Match Finished,FT,203,Süper Lig,2024,Regular Season - 2,3573,Gazişehir Gaziantep,3603,Samsunspor,0.0,1.0,0.0,1.0,0.0,1.0,6.0,4.0,17.0,7.0,13.0,4.0,10.0,6.0,,48.0,3.0,,4.0,382.0,294.0,77.0,4.0,7.0,13.0,2.0,6.0,7.0,12.0,3.0,4.0,52.0,3.0,,6.0,423.0,341.0,81.0
1237864,2024-08-19,1724090400,O. Çakır,Mersin Stadyumu,Mersin,Match Finished,FT,203,Süper Lig,2024,Regular Season - 2,3575,Hatayspor,1004,Kasimpasa,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,9.0,5.0,7.0,2.0,7.0,3.0,1.0,38.0,2.0,,5.0,268.0,189.0,71.0,6.0,3.0,14.0,5.0,9.0,5.0,10.0,7.0,2.0,62.0,1.0,,,422.0,350.0,83.0
1237861,2024-08-19,1724090400,H. Meler,Recep Tayyip Erdoğan Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 2,3588,Eyüpspor,3583,BB Bodrumspor,4.0,1.0,0.0,1.0,4.0,1.0,8.0,2.0,15.0,5.0,9.0,6.0,8.0,3.0,3.0,65.0,1.0,,4.0,501.0,420.0,84.0,5.0,7.0,18.0,6.0,11.0,7.0,11.0,4.0,2.0,35.0,1.0,,4.0,262.0,192.0,73.0
1237869,2024-08-23,1724436000,M. Metoğlu,GAIN Park Stadium,Antalya,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,996,Alanyaspor,994,Goztepe,1.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,11.0,4.0,6.0,5.0,6.0,8.0,3.0,68.0,1.0,,2.0,508.0,432.0,85.0,3.0,3.0,10.0,4.0,7.0,3.0,23.0,2.0,3.0,32.0,4.0,,2.0,236.0,163.0,69.0
1237870,2024-08-24,1724516100,Z. Küçük,BG Group 4 Eylül Stadyumu,Sivas,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,1002,Sivasspor,3588,Eyüpspor,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,10.0,4.0,6.0,4.0,14.0,4.0,2.0,46.0,2.0,,2.0,375.0,294.0,78.0,3.0,8.0,12.0,1.0,6.0,6.0,15.0,4.0,4.0,54.0,3.0,,3.0,432.0,363.0,84.0
1237875,2024-08-24,1724525100,Ç. Altay,Grey Beton Bodrum Stadyumu,Muğla,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,3583,BB Bodrumspor,607,Konyaspor,3.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,11.0,4.0,7.0,4.0,11.0,5.0,,37.0,2.0,,2.0,282.0,196.0,70.0,3.0,2.0,7.0,2.0,4.0,3.0,13.0,5.0,2.0,63.0,2.0,,2.0,482.0,377.0,78.0
1237867,2024-08-25,1724611500,A. Karaoğlan,Corendon Airlines Park,Antalya,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,1005,Antalyaspor,3575,Hatayspor,3.0,2.0,0.0,2.0,3.0,2.0,6.0,4.0,11.0,1.0,10.0,1.0,16.0,10.0,1.0,63.0,4.0,,3.0,390.0,320.0,82.0,4.0,3.0,10.0,3.0,3.0,7.0,19.0,2.0,3.0,37.0,6.0,1.0,3.0,242.0,187.0,77.0
1237874,2024-08-25,1724611500,T. Doman,Çaykur Didi Stadyumu,Rize,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,1007,Rizespor,611,Fenerbahce,0.0,5.0,0.0,1.0,0.0,5.0,3.0,4.0,9.0,2.0,6.0,3.0,13.0,1.0,,48.0,3.0,,4.0,428.0,352.0,82.0,8.0,8.0,19.0,3.0,14.0,5.0,19.0,6.0,,52.0,2.0,,3.0,454.0,386.0,85.0
1237868,2024-08-25,1724602500,B. Taşkınsoy,Recep Tayyip Erdoğan Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,1004,Kasimpasa,3563,Adana Demirspor,2.0,2.0,1.0,0.0,2.0,2.0,6.0,9.0,21.0,6.0,14.0,7.0,11.0,8.0,4.0,53.0,1.0,,1.0,394.0,303.0,77.0,3.0,7.0,11.0,1.0,8.0,3.0,11.0,4.0,2.0,47.0,,,4.0,344.0,264.0,77.0
1237884,2024-08-30,1725040800,M. Türkmen,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,611,Fenerbahce,996,Alanyaspor,3.0,0.0,1.0,0.0,3.0,0.0,8.0,5.0,19.0,6.0,12.0,7.0,13.0,2.0,3.0,49.0,1.0,,1.0,428.0,365.0,85.0,1.0,5.0,9.0,3.0,5.0,4.0,11.0,1.0,4.0,51.0,4.0,,5.0,442.0,367.0,83.0
1237881,2024-08-31,1725120900,E. Kargın,Medaş Konya Büyükşehir Stadyumu,Konya,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,607,Konyaspor,1001,Kayserispor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,7.0,10.0,4.0,13.0,6.0,2.0,48.0,1.0,,3.0,412.0,323.0,78.0,3.0,4.0,9.0,2.0,4.0,5.0,17.0,5.0,,52.0,1.0,,1.0,461.0,368.0,80.0
1237878,2024-08-31,1725120900,A. Şansalan,Çaykur Didi Stadyumu,Rize,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,1007,Rizespor,1004,Kasimpasa,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,18.0,11.0,14.0,4.0,11.0,10.0,4.0,62.0,1.0,,3.0,494.0,416.0,84.0,4.0,4.0,9.0,1.0,6.0,3.0,14.0,3.0,3.0,38.0,3.0,,2.0,322.0,240.0,75.0
1237876,2024-08-31,1725129900,B. Taşkınsoy,Gürsel Aksel Stadyumu,İzmir,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,994,Goztepe,3583,BB Bodrumspor,2.0,0.0,2.0,0.0,2.0,0.0,4.0,6.0,14.0,4.0,8.0,6.0,13.0,6.0,2.0,49.0,4.0,,3.0,340.0,227.0,67.0,3.0,7.0,14.0,4.0,9.0,5.0,4.0,2.0,2.0,51.0,1.0,,2.0,345.0,224.0,65.0
1237880,2024-08-31,1725129900,K. Sağlam,Yeni Adana Stadyumu,Adana,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,3563,Adana Demirspor,645,Galatasaray,1.0,5.0,0.0,4.0,1.0,5.0,5.0,8.0,14.0,1.0,7.0,7.0,8.0,3.0,1.0,42.0,3.0,1.0,3.0,333.0,255.0,77.0,7.0,7.0,16.0,2.0,9.0,7.0,9.0,4.0,5.0,58.0,,,4.0,466.0,378.0,81.0
1237883,2024-09-01,1725216300,D. Tonusluoğlu,Tüpraş Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,549,Besiktas,1002,Sivasspor,2.0,0.0,1.0,0.0,2.0,0.0,8.0,4.0,12.0,,10.0,2.0,15.0,5.0,1.0,67.0,4.0,,1.0,567.0,507.0,89.0,1.0,3.0,7.0,3.0,4.0,3.0,9.0,5.0,1.0,33.0,5.0,,6.0,274.0,212.0,77.0
1237877,2024-09-01,1725207300,O. Çakır,Başakşehir Fatih Terim Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,564,Istanbul Basaksehir,1005,Antalyaspor,5.0,2.0,1.0,2.0,5.0,2.0,7.0,2.0,14.0,5.0,10.0,4.0,16.0,3.0,6.0,55.0,1.0,,1.0,378.0,311.0,82.0,3.0,3.0,10.0,4.0,5.0,5.0,14.0,5.0,,45.0,2.0,,2.0,314.0,241.0,77.0
1237879,2024-09-01,1725207300,A. Karaoğlan,Recep Tayyip Erdoğan Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,3588,Eyüpspor,998,Trabzonspor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,12.0,3.0,3.0,9.0,10.0,3.0,2.0,47.0,3.0,,4.0,414.0,352.0,85.0,4.0,3.0,8.0,1.0,4.0,4.0,9.0,4.0,1.0,53.0,,,6.0,456.0,392.0,86.0
1237882,2024-09-01,1725216300,C. Aydın,Mersin Stadyumu,Mersin,Match Finished,FT,203,Süper Lig,2024,Regular Season - 4,3575,Hatayspor,3603,Samsunspor,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,2.0,1.0,4.0,8.0,2.0,,54.0,,,3.0,481.0,409.0,85.0,6.0,5.0,14.0,3.0,12.0,2.0,12.0,4.0,4.0,46.0,2.0,,1.0,404.0,327.0,81.0
1237892,2024-09-14,1726333200,A. Kardeşler,RAMS Park,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,645,Galatasaray,1007,Rizespor,5.0,0.0,2.0,0.0,5.0,0.0,9.0,6.0,25.0,10.0,20.0,5.0,16.0,6.0,3.0,56.0,,,1.0,417.0,350.0,84.0,1.0,2.0,4.0,1.0,2.0,2.0,11.0,1.0,1.0,44.0,,,4.0,326.0,250.0,77.0
1237893,2024-09-14,1726333200,Z. Küçük,Grey Beton Bodrum Stadyumu,Muğla,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,3583,BB Bodrumspor,564,Istanbul Basaksehir,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,10.0,2.0,3.0,7.0,22.0,5.0,,36.0,,1.0,4.0,228.0,158.0,69.0,5.0,5.0,13.0,3.0,10.0,3.0,14.0,7.0,,64.0,,1.0,3.0,409.0,349.0,85.0
1237885,2024-09-14,1726322400,M. Metoğlu,BG Group 4 Eylül Stadyumu,Sivas,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,1002,Sivasspor,3573,Gazişehir Gaziantep,3.0,2.0,1.0,1.0,3.0,2.0,4.0,6.0,16.0,6.0,7.0,9.0,15.0,3.0,,47.0,5.0,1.0,3.0,315.0,255.0,81.0,5.0,7.0,14.0,2.0,7.0,7.0,15.0,5.0,1.0,53.0,6.0,,1.0,353.0,282.0,80.0
1237890,2024-09-14,1726322400,O. Çakır,Samsun Yeni 19 Mayıs Stadyumu,Samsun,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,3603,Samsunspor,607,Konyaspor,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,13.0,7.0,6.0,7.0,11.0,12.0,1.0,67.0,,,2.0,556.0,464.0,83.0,3.0,1.0,6.0,2.0,4.0,2.0,14.0,1.0,1.0,33.0,2.0,,2.0,275.0,200.0,73.0
1237889,2024-09-15,1726408800,Ö. Güldibi,RHG Enertürk Enerji Stadyumu,Kayseri,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,1001,Kayserispor,3588,Eyüpspor,2.0,2.0,0.0,2.0,2.0,2.0,6.0,4.0,14.0,4.0,8.0,6.0,12.0,6.0,3.0,60.0,4.0,,6.0,480.0,420.0,88.0,8.0,4.0,15.0,3.0,11.0,4.0,10.0,8.0,1.0,40.0,2.0,,4.0,324.0,264.0,81.0
1237887,2024-09-15,1726408800,H. Meler,Recep Tayyip Erdoğan Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,1004,Kasimpasa,611,Fenerbahce,0.0,2.0,0.0,2.0,0.0,2.0,2.0,10.0,14.0,2.0,7.0,7.0,11.0,6.0,2.0,58.0,3.0,,,456.0,360.0,79.0,2.0,4.0,6.0,,5.0,1.0,16.0,5.0,3.0,42.0,1.0,,2.0,340.0,250.0,74.0
1237886,2024-09-15,1726419600,O. Ergün,GAIN Park Stadium,Antalya,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,996,Alanyaspor,3575,Hatayspor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,4.0,7.0,5.0,11.0,5.0,2.0,57.0,3.0,,1.0,503.0,419.0,83.0,1.0,3.0,7.0,3.0,6.0,1.0,16.0,4.0,2.0,43.0,1.0,,3.0,364.0,297.0,82.0
1237891,2024-09-15,1726419600,A. Şansalan,Papara Park,Trabzon,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,998,Trabzonspor,549,Besiktas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,17.0,1.0,1.0,25.0,2.0,1.0,6.0,207.0,145.0,70.0,7.0,10.0,22.0,5.0,13.0,9.0,9.0,13.0,2.0,75.0,3.0,,,635.0,553.0,87.0
1237888,2024-09-16,1726506000,Y. Kol,Corendon Airlines Park,Antalya,Match Finished,FT,203,Süper Lig,2024,Regular Season - 5,1005,Antalyaspor,3563,Adana Demirspor,2.0,1.0,0.0,0.0,2.0,1.0,5.0,4.0,12.0,3.0,5.0,7.0,9.0,8.0,3.0,50.0,1.0,,8.0,392.0,314.0,80.0,9.0,5.0,17.0,3.0,9.0,8.0,8.0,4.0,4.0,50.0,2.0,,3.0,390.0,308.0,79.0
1237873,2024-09-17,1726592400,C. Aydın,RAMS Park,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,645,Galatasaray,3573,Gazişehir Gaziantep,3.0,1.0,2.0,0.0,3.0,1.0,8.0,11.0,23.0,4.0,15.0,8.0,11.0,11.0,1.0,63.0,1.0,,2.0,569.0,485.0,85.0,3.0,3.0,6.0,,4.0,2.0,6.0,4.0,4.0,37.0,1.0,,5.0,336.0,250.0,74.0
1237871,2024-09-18,1726678800,D. Tonusluoğlu,Samsun Yeni 19 Mayıs Stadyumu,Samsun,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,3603,Samsunspor,564,Istanbul Basaksehir,2.0,0.0,0.0,0.0,2.0,0.0,6.0,5.0,13.0,2.0,10.0,3.0,12.0,4.0,1.0,37.0,5.0,,5.0,282.0,206.0,73.0,6.0,8.0,15.0,1.0,10.0,5.0,11.0,2.0,1.0,63.0,2.0,,4.0,494.0,428.0,87.0
1237872,2024-09-19,1726765200,M. Türkmen,Papara Park,Trabzon,Match Finished,FT,203,Süper Lig,2024,Regular Season - 3,998,Trabzonspor,1001,Kayserispor,2.0,2.0,0.0,1.0,2.0,2.0,8.0,11.0,25.0,6.0,14.0,11.0,6.0,8.0,1.0,66.0,,,3.0,537.0,468.0,87.0,5.0,5.0,13.0,3.0,9.0,4.0,11.0,3.0,2.0,34.0,6.0,1.0,6.0,289.0,208.0,72.0
1237901,2024-09-20,1726851600,Ü. Öztürk,Mersin Stadyumu,Mersin,Match Finished,FT,203,Süper Lig,2024,Regular Season - 6,3575,Hatayspor,3583,BB Bodrumspor,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,13.0,7.0,8.0,5.0,11.0,9.0,2.0,66.0,2.0,,,474.0,391.0,82.0,1.0,5.0,8.0,2.0,4.0,4.0,13.0,7.0,1.0,34.0,6.0,,2.0,243.0,162.0,67.0
1237897,2024-09-21,1726938000,A. Karaoğlan,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 6,611,Fenerbahce,645,Galatasaray,1.0,3.0,0.0,2.0,1.0,3.0,10.0,8.0,24.0,6.0,15.0,9.0,13.0,10.0,6.0,56.0,3.0,,4.0,433.0,341.0,79.0,6.0,7.0,13.0,,7.0,6.0,23.0,2.0,5.0,44.0,6.0,,8.0,345.0,265.0,77.0
1237898,2024-09-21,1726927200,Y. Kol,Medaş Konya Büyükşehir Stadyumu,Konya,Match Finished,FT,203,Süper Lig,2024,Regular Season - 6,607,Konyaspor,1002,Sivasspor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,15.0,4.0,11.0,4.0,17.0,7.0,,55.0,5.0,,5.0,437.0,358.0,82.0,5.0,3.0,10.0,2.0,6.0,4.0,14.0,4.0,2.0,45.0,4.0,,5.0,372.0,301.0,81.0
1237900,2024-09-22,1727013600,B. Pakkan,Recep Tayyip Erdoğan Stadyumu,İstanbul,Match Finished,FT,203,Süper Lig,2024,Regular Season - 6,1004,Kasimpasa,1005,Antalyaspor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,13.0,1.0,8.0,5.0,18.0,3.0,2.0,57.0,1.0,1.0,2.0,465.0,384.0,83.0,2.0,1.0,4.0,1.0,4.0,,18.0,1.0,2.0,43.0,6.0,,3.0,349.0,262.0,75.0
