league,team_name,elo_rating
BEL1,Union St. Gilloise,1611
BEL1,Club Brugge KV,1563
BEL1,Genk,1471
BEL1,Anderlecht,1449
BEL1,Antwerp,1421
BEL1,KV Mechelen,1418
BEL1,Charleroi,1418
BEL1,St. Truiden,1411
BEL1,Zulte Waregem,1392
BEL1,RAAL La Louvière,1386
BEL1,Standard Liege,1374
BEL1,Cercle Brugge,1370
BEL1,KVC Westerlo,1367
BEL1,Gent,1360
BEL1,Patro Eisden,1354
BEL1,Kortrijk,1341
BEL1,Dender,1324
BEL1,OH Leuven,1302
BEL1,Beerschot Wilrijk,1270
ENG1,Liverpool,1634
ENG1,Arsenal,1624
ENG1,Manchester City,1618
ENG1,Aston Villa,1580
ENG1,Chelsea,1580
ENG1,Brighton,1565
ENG1,Crystal Palace,1564
ENG1,Newcastle,1563
ENG1,Nottingham Forest,1552
ENG1,Leeds,1529
ENG1,Brentford,1523
ENG1,Everton,1522
ENG1,Sunderland,1517
ENG1,Fulham,1504
ENG1,Bournemouth,1496
ENG1,Burnley,1481
ENG1,Wolves,1474
ENG1,West Ham,1435
ENG1,Manchester United,1433
ENG1,Tottenham,1412
ENG1,Leicester,1328
ENG1,Ipswich,1304
ENG1,Southampton,1260
ENG2,Burnley,1589
ENG2,Leeds,1562
ENG2,Sheffield Utd,1393
ENG2,Millwall,1388
ENG2,Sunderland,1379
ENG2,Coventry,1373
ENG2,Bristol City,1370
ENG2,West Brom,1368
ENG2,Charlton,1363
ENG2,Birmingham,1362
ENG2,Southampton,1360
ENG2,Swansea,1357
ENG2,Stoke City,1353
ENG2,Middlesbrough,1351
ENG2,Ipswich,1348
ENG2,Leicester,1342
ENG2,Portsmouth,1330
ENG2,Hull City,1327
ENG2,Luton,1324
ENG2,Norwich,1318
ENG2,Wrexham,1314
ENG2,QPR,1313
ENG2,Preston,1312
ENG2,Plymouth,1309
ENG2,Blackburn,1302
ENG2,Oxford United,1295
ENG2,Derby,1295
ENG2,Sheffield Wednesday,1278
ENG2,Watford,1273
ENG2,Cardiff,1253
FRA1,Paris Saint Germain,1678
FRA1,Strasbourg,1585
FRA1,Monaco,1578
FRA1,Lyon,1568
FRA1,Lille,1558
FRA1,Marseille,1549
FRA1,Nice,1549
FRA1,Stade Brestois 29,1515
FRA1,Lens,1514
FRA1,Toulouse,1512
FRA1,Auxerre,1499
FRA1,Metz,1495
FRA1,Lorient,1487
FRA1,Rennes,1486
FRA1,Paris FC,1484
FRA1,Angers,1472
FRA1,Le Havre,1459
FRA1,Nantes,1457
FRA1,Saint Etienne,1407
FRA1,Reims,1379
FRA1,Montpellier,1267
FRA2,Lorient,1491
FRA2,Paris FC,1483
FRA2,Metz,1479
FRA2,Estac Troyes,1374
FRA2,Nancy,1367
FRA2,Dunkerque,1364
FRA2,Montpellier,1364
FRA2,Reims,1363
FRA2,Saint Etienne,1360
FRA2,Bastia,1357
FRA2,Laval,1354
FRA2,Guingamp,1342
FRA2,PAU,1339
FRA2,Annecy,1338
FRA2,Ajaccio,1337
FRA2,Le Mans,1333
FRA2,Boulogne,1330
FRA2,Amiens,1329
FRA2,Grenoble,1324
