fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1231745,2024-08-19,1724094900,Bruno Vieira,Estádio José Gomes,Amadora,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 2,15130,Estrela,242,Famalicao,0.0,3.0,0.0,1.0,0.0,3.0,1.0,8.0,11.0,2.0,6.0,5.0,10.0,2.0,2.0,51.0,3.0,,2.0,398.0,309.0,78.0,5.0,5.0,14.0,4.0,10.0,4.0,16.0,4.0,,49.0,1.0,,1.0,382.0,288.0,75.0
1231749,2024-08-23,1724440500,Tiago Martins,Estádio Do Algarve,Almancil,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,231,Farense,228,Sporting CP,0.0,5.0,0.0,2.0,0.0,5.0,1.0,2.0,6.0,3.0,3.0,3.0,18.0,1.0,1.0,32.0,4.0,,5.0,260.0,182.0,70.0,9.0,9.0,29.0,11.0,23.0,6.0,5.0,5.0,2.0,68.0,1.0,,1.0,561.0,488.0,87.0
1231750,2024-08-24,1724509800,Ricardo Baixinho,Estádio Municipal de Rio Maior,Rio Maior,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,4716,Casa Pia,227,Santa Clara,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,3.0,6.0,4.0,12.0,7.0,,58.0,4.0,1.0,2.0,401.0,297.0,74.0,4.0,2.0,8.0,2.0,4.0,4.0,21.0,1.0,,42.0,4.0,,2.0,292.0,198.0,68.0
1231751,2024-08-24,1724518800,Iancu Vasilica,Estádio Do Dragão,Porto,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,212,FC Porto,226,Rio Ave,2.0,0.0,2.0,0.0,2.0,0.0,12.0,9.0,23.0,2.0,13.0,10.0,14.0,9.0,2.0,72.0,,,,605.0,537.0,89.0,,,,,,,15.0,3.0,2.0,28.0,2.0,1.0,10.0,230.0,161.0,70.0
1231754,2024-08-24,1724527800,Hélder Malheiro,Estádio do Sport Lisboa e Benfica,Lisboa,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,211,Benfica,15130,Estrela,1.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,17.0,6.0,12.0,5.0,19.0,12.0,4.0,58.0,4.0,,,534.0,460.0,86.0,,4.0,6.0,2.0,2.0,4.0,12.0,2.0,,42.0,3.0,,8.0,401.0,328.0,82.0
1231748,2024-08-24,1724527800,David Silva,Estádio Municipal 22 de Junho,Vila Nova de Famalicão,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,242,Famalicao,222,Boavista,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,10.0,5.0,3.0,7.0,19.0,6.0,1.0,59.0,1.0,,2.0,465.0,372.0,80.0,2.0,2.0,6.0,2.0,4.0,2.0,16.0,3.0,2.0,41.0,3.0,,1.0,326.0,235.0,72.0
1231747,2024-08-25,1724614200,João Pedro Pinheiro,Estádio Clube Desportivo das Aves,Vila das Aves,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,21595,AVS,224,Guimaraes,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,11.0,3.0,4.0,7.0,16.0,3.0,6.0,35.0,3.0,,5.0,282.0,212.0,75.0,6.0,7.0,16.0,3.0,10.0,6.0,14.0,6.0,3.0,65.0,3.0,,1.0,500.0,422.0,84.0
1231753,2024-08-25,1724614200,Nuno Almeida,Estádio Municipal de Braga,Braga,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,217,SC Braga,215,Moreirense,3.0,1.0,1.0,0.0,3.0,1.0,5.0,8.0,19.0,6.0,13.0,6.0,13.0,6.0,5.0,67.0,,,4.0,589.0,511.0,87.0,5.0,4.0,13.0,4.0,9.0,4.0,7.0,1.0,2.0,33.0,2.0,,2.0,291.0,232.0,80.0
1231755,2024-08-25,1724596200,Sérgio Guelho,Estádio Municipal de Arouca,Arouca,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,240,Arouca,225,Nacional,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,10.0,2.0,3.0,7.0,17.0,9.0,1.0,47.0,2.0,,1.0,303.0,239.0,79.0,1.0,10.0,14.0,3.0,8.0,6.0,11.0,3.0,1.0,53.0,6.0,,3.0,344.0,268.0,78.0
1231752,2024-08-25,1724605200,Anzhony Rodrigues,Estádio António Coimbra da Mota,Estoril,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 3,230,Estoril,762,GIL Vicente,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,3.0,7.0,4.0,20.0,8.0,,48.0,4.0,,4.0,454.0,377.0,83.0,4.0,6.0,12.0,2.0,9.0,3.0,7.0,1.0,1.0,52.0,1.0,,1.0,497.0,414.0,83.0
1231762,2024-08-30,1725045300,André Narciso,Parque Desportivo Comendador Joaquim de Almeida Freitas,Moreira de Cónegos,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,215,Moreirense,211,Benfica,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,6.0,1.0,4.0,2.0,18.0,,,34.0,3.0,,3.0,314.0,224.0,71.0,4.0,7.0,15.0,4.0,9.0,6.0,9.0,8.0,2.0,66.0,5.0,,3.0,579.0,475.0,82.0
1231759,2024-08-31,1725114600,Miguel Nogueira,Estádio de São Miguel,"Ponta Delgada, Ilha de São Miguel, Açores",Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,227,Santa Clara,21595,AVS,2.0,1.0,1.0,1.0,2.0,1.0,5.0,7.0,16.0,4.0,12.0,4.0,13.0,3.0,,51.0,1.0,,1.0,416.0,315.0,76.0,2.0,6.0,9.0,1.0,2.0,7.0,8.0,2.0,,49.0,2.0,,3.0,389.0,302.0,78.0
1231756,2024-08-31,1725123600,Hélder Carvalho,Estádio José Gomes,Amadora,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,15130,Estrela,4716,Casa Pia,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,14.0,6.0,7.0,7.0,8.0,2.0,1.0,66.0,1.0,,4.0,570.0,482.0,85.0,5.0,5.0,12.0,2.0,7.0,5.0,23.0,7.0,2.0,34.0,1.0,,3.0,276.0,203.0,74.0
1231763,2024-08-31,1725123600,Gustavo Correia,Estádio do Bessa Século XXI,Porto,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,222,Boavista,230,Estoril,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,19.0,1.0,12.0,7.0,12.0,8.0,2.0,48.0,2.0,,1.0,351.0,274.0,78.0,1.0,6.0,8.0,1.0,2.0,6.0,19.0,3.0,,52.0,5.0,,5.0,384.0,312.0,81.0
1231764,2024-08-31,1725132600,Luís Godinho,Estádio José Alvalade,Lisboa,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,228,Sporting CP,212,FC Porto,2.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,17.0,4.0,14.0,3.0,13.0,2.0,1.0,54.0,1.0,,2.0,479.0,410.0,86.0,2.0,3.0,8.0,3.0,2.0,6.0,18.0,3.0,1.0,46.0,5.0,,2.0,399.0,333.0,83.0
1231761,2024-09-01,1725219000,Fábio Veríssimo,Estádio Cidade de Barcelos,Barcelos,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,762,GIL Vicente,217,SC Braga,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,11.0,3.0,9.0,2.0,9.0,4.0,3.0,48.0,4.0,,2.0,439.0,359.0,82.0,2.0,5.0,9.0,2.0,8.0,1.0,18.0,5.0,2.0,52.0,1.0,,3.0,462.0,373.0,81.0
1231758,2024-09-01,1725219000,João Ferreira,Estádio Dom Afonso Henriques,Guimarães,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,224,Guimaraes,242,Famalicao,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,9.0,2.0,6.0,3.0,18.0,5.0,3.0,49.0,5.0,,3.0,349.0,295.0,85.0,4.0,3.0,8.0,1.0,4.0,4.0,12.0,7.0,,51.0,3.0,,3.0,374.0,301.0,80.0
1231760,2024-09-01,1725210000,Bruno Pires Costa,Estádio do Rio Ave Futebol Clube,Vila do Conde,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,226,Rio Ave,240,Arouca,1.0,0.0,1.0,0.0,1.0,0.0,5.0,6.0,14.0,3.0,9.0,5.0,16.0,8.0,2.0,46.0,1.0,,3.0,406.0,332.0,82.0,3.0,8.0,14.0,3.0,9.0,5.0,19.0,8.0,3.0,54.0,3.0,,4.0,462.0,387.0,84.0
1231757,2024-09-01,1725201000,Cláudio Pereira,Estádio da Madeira,Ilha da Madeira,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 4,225,Nacional,231,Farense,2.0,0.0,1.0,0.0,2.0,0.0,4.0,7.0,17.0,6.0,10.0,7.0,19.0,4.0,,51.0,3.0,,,311.0,226.0,73.0,,6.0,13.0,7.0,6.0,7.0,16.0,4.0,5.0,49.0,3.0,,3.0,300.0,216.0,72.0
1231771,2024-09-13,1726254900,João Pedro Pinheiro,Estádio Municipal de Arouca,Arouca,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 5,240,Arouca,228,Sporting CP,0.0,3.0,0.0,1.0,0.0,3.0,2.0,2.0,6.0,2.0,2.0,4.0,14.0,2.0,2.0,38.0,3.0,,4.0,366.0,305.0,83.0,7.0,7.0,25.0,11.0,17.0,8.0,11.0,8.0,2.0,62.0,,,2.0,593.0,543.0,92.0
1231772,2024-09-14,1726342200,Cláudio Pereira,Estádio do Sport Lisboa e Benfica,Lisboa,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 5,211,Benfica,227,Santa Clara,4.0,1.0,2.0,1.0,4.0,1.0,8.0,5.0,15.0,2.0,11.0,4.0,14.0,5.0,4.0,60.0,1.0,,1.0,594.0,518.0,87.0,2.0,3.0,7.0,2.0,3.0,4.0,7.0,1.0,,40.0,3.0,,4.0,407.0,333.0,82.0
1231768,2024-09-14,1726342200,Hélder Malheiro,Estádio Municipal 22 de Junho,Vila Nova de Famalicão,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 5,242,Famalicao,762,GIL Vicente,1.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,14.0,5.0,5.0,9.0,11.0,8.0,1.0,57.0,1.0,,1.0,463.0,379.0,82.0,2.0,5.0,8.0,1.0,4.0,4.0,16.0,1.0,4.0,43.0,,,3.0,356.0,288.0,81.0
1231765,2024-09-14,1726333200,António Nobre,Estádio Clube Desportivo das Aves,Vila das Aves,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 5,21595,AVS,226,Rio Ave,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,11.0,3.0,5.0,6.0,15.0,4.0,4.0,38.0,4.0,,3.0,341.0,259.0,76.0,3.0,6.0,17.0,8.0,11.0,6.0,12.0,11.0,3.0,62.0,2.0,,2.0,560.0,468.0,84.0
1231773,2024-09-14,1726324200,David Silva,Estádio Municipal de Rio Maior,Rio Maior,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 5,4716,Casa Pia,215,Moreirense,3.0,1.0,0.0,1.0,3.0,1.0,4.0,5.0,17.0,8.0,7.0,10.0,23.0,4.0,,46.0,5.0,,1.0,363.0,290.0,80.0,2.0,7.0,13.0,4.0,6.0,7.0,10.0,5.0,2.0,54.0,2.0,,1.0,441.0,372.0,84.0
1231767,2024-09-15,1726410600,Nuno Almeida,Estádio Do Dragão,Porto,Match Finished,FT,94,Primeira Liga,2024,Regular Season - 5,212,FC Porto,231,Farense,2.0,1.0,0.0,0.0,2.0,1.0,12.0,10.0,25.0,3.0,19.0,6.0,7.0,11.0,2.0,72.0,2.0,,5.0,444.0,379.0,85.0,6.0,6.0,13.0,1.0,10.0,3.0,19.0,,,28.0,3.0,,10.0,169.0,114.0,67.0
