fixture_id,fixture_date,bookmaker_id,bookmaker_name,bet_type_id,bet_type_name,bet_value,odd,collected_at
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,21.0,Odd/Even,Even,1.85,2025-08-21T12:26:45.408995
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,21.0,Odd/Even,Odd,1.85,2025-08-21T12:26:45.408993
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Under 0.5,2.90,2025-08-21T12:26:45.408992
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Over 0.5,1.36,2025-08-21T12:26:45.408990
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Under 3.5,1.01,2025-08-21T12:26:45.408989
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Over 3.5,23.00,2025-08-21T12:26:45.408988
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Under 2.5,1.08,2025-08-21T12:26:45.408986
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Over 2.5,7.50,2025-08-21T12:26:45.408985
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Under 1.5,1.40,2025-08-21T12:26:45.408983
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,17.0,Total - Away,Over 1.5,2.80,2025-08-21T12:26:45.408982
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Under 4.5,1.01,2025-08-21T12:26:45.408980
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Over 4.5,34.00,2025-08-21T12:26:45.408979
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Under 0.5,4.00,2025-08-21T12:26:45.408977
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Over 0.5,1.22,2025-08-21T12:26:45.408976
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Under 3.5,1.04,2025-08-21T12:26:45.408975
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Over 3.5,12.00,2025-08-21T12:26:45.408973
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Under 2.5,1.18,2025-08-21T12:26:45.408972
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Over 2.5,4.60,2025-08-21T12:26:45.408970
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Under 1.5,1.67,2025-08-21T12:26:45.408969
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,16.0,Total - Home,Over 1.5,2.10,2025-08-21T12:26:45.408967
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,12.0,Double Chance,Draw/Away,1.67,2025-08-21T12:26:45.408965
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Away,1.30,2025-08-21T12:26:45.408964
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Draw,1.33,2025-08-21T12:26:45.408962
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,10.0,Exact Score,10:0,151.00,2025-08-21T12:26:45.408961
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,10.0,Exact Score,9:1,151.00,2025-08-21T12:26:45.408959
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,10.0,Exact Score,9:0,151.00,2025-08-21T12:26:45.408958
1382465,2025-08-24T17:15:00+00:00,21.0,888Sport,10.0,Exact Score,8:2,151.00,2025-08-21T12:26:45.408957
