fixture_id,fixture_date,bookmaker_id,bookmaker_name,bet_type_id,bet_type_name,bet_value,odd,collected_at
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,21.0,Odd/Even,Even,1.85,2025-08-21T12:27:35.524157
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,21.0,Odd/Even,Odd,1.85,2025-08-21T12:27:35.524155
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Under 0.5,2.45,2025-08-21T12:27:35.524154
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Over 0.5,1.50,2025-08-21T12:27:35.524152
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Under 3.5,1.01,2025-08-21T12:27:35.524151
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Over 3.5,36.00,2025-08-21T12:27:35.524149
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Under 2.5,1.05,2025-08-21T12:27:35.524148
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Over 2.5,10.00,2025-08-21T12:27:35.524147
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Under 1.5,1.25,2025-08-21T12:27:35.524145
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,17.0,Total - Away,Over 1.5,3.50,2025-08-21T12:27:35.524144
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Under 4.5,1.01,2025-08-21T12:27:35.524142
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Over 4.5,26.00,2025-08-21T12:27:35.524141
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Under 0.5,4.75,2025-08-21T12:27:35.524139
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Over 0.5,1.17,2025-08-21T12:27:35.524138
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Under 3.5,1.06,2025-08-21T12:27:35.524136
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Over 3.5,9.00,2025-08-21T12:27:35.524135
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Under 2.5,1.22,2025-08-21T12:27:35.524133
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Over 2.5,3.80,2025-08-21T12:27:35.524132
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Under 1.5,1.85,2025-08-21T12:27:35.524130
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,16.0,Total - Home,Over 1.5,1.85,2025-08-21T12:27:35.524129
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,12.0,Double Chance,Draw/Away,2.00,2025-08-21T12:27:35.524127
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Away,1.29,2025-08-21T12:27:35.524126
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Draw,1.20,2025-08-21T12:27:35.524124
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,10:0,151.00,2025-08-21T12:27:35.524123
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,9:1,151.00,2025-08-21T12:27:35.524121
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,9:0,151.00,2025-08-21T12:27:35.524120
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,8:2,151.00,2025-08-21T12:27:35.524119
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,8:1,151.00,2025-08-21T12:27:35.524117
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,8:0,151.00,2025-08-21T12:27:35.524116
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,7:3,151.00,2025-08-21T12:27:35.524114
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,7:2,151.00,2025-08-21T12:27:35.524113
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,7:1,151.00,2025-08-21T12:27:35.524111
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,7:0,151.00,2025-08-21T12:27:35.524110
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,6:4,151.00,2025-08-21T12:27:35.524109
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,6:3,151.00,2025-08-21T12:27:35.524107
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,5:4,151.00,2025-08-21T12:27:35.524106
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,5:3,151.00,2025-08-21T12:27:35.524104
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,4:3,101.00,2025-08-21T12:27:35.524103
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,6:2,151.00,2025-08-21T12:27:35.524101
1389142,2025-08-23T12:00:00+00:00,21.0,888Sport,10.0,Exact Score,6:1,126.00,2025-08-21T12:27:35.524100
