fixture_id,fixture_date,bookmaker_id,bookmaker_name,bet_type_id,bet_type_name,bet_value,odd,collected_at
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,21.0,Odd/Even,Even,1.75,2025-08-21T12:28:00.422615
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,21.0,Odd/Even,Odd,1.95,2025-08-21T12:28:00.422603
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 0.5,2.4,2025-08-21T12:28:00.422602
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 0.5,1.5,2025-08-21T12:28:00.422600
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 3.5,1.01,2025-08-21T12:28:00.422599
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 3.5,41.0,2025-08-21T12:28:00.422597
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 2.5,1.05,2025-08-21T12:28:00.422596
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 2.5,11.0,2025-08-21T12:28:00.422594
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 1.5,1.25,2025-08-21T12:28:00.422593
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 1.5,3.6,2025-08-21T12:28:00.422592
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 0.5,3.2,2025-08-21T12:28:00.422590
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 0.5,1.3,2025-08-21T12:28:00.422589
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 3.5,1.03,2025-08-21T12:28:00.422587
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 3.5,17.0,2025-08-21T12:28:00.422586
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 2.5,1.11,2025-08-21T12:28:00.422584
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 2.5,6.0,2025-08-21T12:28:00.422583
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 1.5,1.44,2025-08-21T12:28:00.422581
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 1.5,2.5,2025-08-21T12:28:00.422580
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,12.0,Double Chance,Draw/Away,1.62,2025-08-21T12:28:00.422578
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Away,1.36,2025-08-21T12:28:00.422577
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Draw,1.3,2025-08-21T12:28:00.422575
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,10:0,151.0,2025-08-21T12:28:00.422574
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,9:1,151.0,2025-08-21T12:28:00.422572
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,9:0,151.0,2025-08-21T12:28:00.422571
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,8:2,151.0,2025-08-21T12:28:00.422570
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,8:1,151.0,2025-08-21T12:28:00.422568
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,8:0,151.0,2025-08-21T12:28:00.422567
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:3,151.0,2025-08-21T12:28:00.422565
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:2,151.0,2025-08-21T12:28:00.422564
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:1,151.0,2025-08-21T12:28:00.422562
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:0,151.0,2025-08-21T12:28:00.422561
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:4,151.0,2025-08-21T12:28:00.422559
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:3,151.0,2025-08-21T12:28:00.422558
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:4,151.0,2025-08-21T12:28:00.422557
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:3,151.0,2025-08-21T12:28:00.422555
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:3,126.0,2025-08-21T12:28:00.422554
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:2,151.0,2025-08-21T12:28:00.422552
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:1,151.0,2025-08-21T12:28:00.422551
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:0,151.0,2025-08-21T12:28:00.422549
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:2,126.0,2025-08-21T12:28:00.422548
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:1,101.0,2025-08-21T12:28:00.422547
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:0,101.0,2025-08-21T12:28:00.422545
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:2,81.0,2025-08-21T12:28:00.422544
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:1,51.0,2025-08-21T12:28:00.422542
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:0,46.0,2025-08-21T12:28:00.422541
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,3:2,36.0,2025-08-21T12:28:00.422539
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,3:1,19.0,2025-08-21T12:28:00.422538
1419597,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,3:0,19.0,2025-08-21T12:28:00.422536
