fixture_id,fixture_date,bookmaker_id,bookmaker_name,bet_type_id,bet_type_name,bet_value,odd,collected_at
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,21.0,Odd/Even,Even,1.83,2025-08-21T12:29:16.495757
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,21.0,Odd/Even,Odd,1.91,2025-08-21T12:29:16.495756
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 0.5,3.25,2025-08-21T12:29:16.495755
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 0.5,1.30,2025-08-21T12:29:16.495753
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 3.5,1.03,2025-08-21T12:29:16.495752
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 3.5,17.00,2025-08-21T12:29:16.495750
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 2.5,1.11,2025-08-21T12:29:16.495749
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 2.5,6.00,2025-08-21T12:29:16.495747
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Under 1.5,1.50,2025-08-21T12:29:16.495746
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,17.0,Total - Away,Over 1.5,2.50,2025-08-21T12:29:16.495745
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 0.5,3.50,2025-08-21T12:29:16.495743
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 0.5,1.25,2025-08-21T12:29:16.495742
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 3.5,1.03,2025-08-21T12:29:16.495740
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 3.5,15.00,2025-08-21T12:29:16.495739
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 2.5,1.14,2025-08-21T12:29:16.495737
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 2.5,5.00,2025-08-21T12:29:16.495736
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Under 1.5,1.57,2025-08-21T12:29:16.495734
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,16.0,Total - Home,Over 1.5,2.30,2025-08-21T12:29:16.495733
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,12.0,Double Chance,Draw/Away,1.50,2025-08-21T12:29:16.495731
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Away,1.33,2025-08-21T12:29:16.495730
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,12.0,Double Chance,Home/Draw,1.40,2025-08-21T12:29:16.495729
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,10:0,151.00,2025-08-21T12:29:16.495727
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,9:1,151.00,2025-08-21T12:29:16.495726
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,9:0,151.00,2025-08-21T12:29:16.495724
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,8:2,151.00,2025-08-21T12:29:16.495723
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,8:1,151.00,2025-08-21T12:29:16.495721
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,8:0,151.00,2025-08-21T12:29:16.495720
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:3,151.00,2025-08-21T12:29:16.495718
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:2,151.00,2025-08-21T12:29:16.495717
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:1,151.00,2025-08-21T12:29:16.495716
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,7:0,151.00,2025-08-21T12:29:16.495714
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:4,151.00,2025-08-21T12:29:16.495713
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:3,151.00,2025-08-21T12:29:16.495711
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:4,151.00,2025-08-21T12:29:16.495710
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:3,151.00,2025-08-21T12:29:16.495709
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:3,101.00,2025-08-21T12:29:16.495707
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:2,151.00,2025-08-21T12:29:16.495706
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:1,151.00,2025-08-21T12:29:16.495704
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,6:0,151.00,2025-08-21T12:29:16.495703
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:2,126.00,2025-08-21T12:29:16.495701
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:1,101.00,2025-08-21T12:29:16.495700
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,5:0,101.00,2025-08-21T12:29:16.495699
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:2,67.00,2025-08-21T12:29:16.495697
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:1,46.00,2025-08-21T12:29:16.495696
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,4:0,56.00,2025-08-21T12:29:16.495694
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,3:2,26.00,2025-08-21T12:29:16.495693
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,3:1,19.00,2025-08-21T12:29:16.495691
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,3:0,23.00,2025-08-21T12:29:16.495690
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,2:1,9.00,2025-08-21T12:29:16.495689
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,2:0,12.00,2025-08-21T12:29:16.495687
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,10.0,Exact Score,1:0,8.00,2025-08-21T12:29:16.495686
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,8.0,Both Teams Score,No,2.05,2025-08-21T12:29:16.495684
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,8.0,Both Teams Score,Yes,1.73,2025-08-21T12:29:16.495683
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Under 5.5,1.03,2025-08-21T12:29:16.495681
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Over 5.5,13.00,2025-08-21T12:29:16.495680
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Under 4.5,1.11,2025-08-21T12:29:16.495678
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Over 4.5,6.00,2025-08-21T12:29:16.495677
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Under 0.5,10.00,2025-08-21T12:29:16.495675
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Over 0.5,1.05,2025-08-21T12:29:16.495674
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Under 3.5,1.30,2025-08-21T12:29:16.495672
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Over 3.5,3.20,2025-08-21T12:29:16.495671
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Under 2.5,1.85,2025-08-21T12:29:16.495669
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Over 2.5,1.85,2025-08-21T12:29:16.495668
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Under 1.5,3.50,2025-08-21T12:29:16.495667
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,5.0,Goals Over/Under,Over 1.5,1.29,2025-08-21T12:29:16.495665
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,3.0,Second Half Winner,Away,3.10,2025-08-21T12:29:16.495664
1394451,2025-08-25T18:30:00+00:00,21.0,888Sport,3.0,Second Half Winner,Draw,2.30,2025-08-21T12:29:16.495662
