fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1213235,BEL1,2024-08-24,KVC Westerlo,OH Leuven,261,KVC Westerlo,20,260,OH Leuven,20
1213236,BEL1,2024-08-24,Antwerp,KV Mechelen,740,Antwerp,20,266,KV Mechelen,20
1213239,BEL1,2024-08-25,Standard Liege,Beerschot Wilrijk,733,Standard Liege,20,263,Beerschot Wilrijk,20
1213240,BEL1,2024-08-25,Charleroi,Kortrijk,736,Charleroi,20,734,Kortrijk,20
1213237,BEL1,2024-08-25,Dender,Club Brugge KV,6215,Dender,20,569,Club Brugge KV,20
1213238,BEL1,2024-08-25,St. Truiden,Union St. Gilloise,735,St. Truiden,20,1393,Union St. Gilloise,20
1213241,BEL1,2024-08-30,Genk,KVC Westerlo,742,Genk,20,261,KVC Westerlo,20
1213243,BEL1,2024-08-31,Beerschot Wilrijk,Dender,263,Beerschot Wilrijk,20,6215,Dender,20
1213244,BEL1,2024-08-31,OH Leuven,Standard Liege,260,OH Leuven,20,733,Standard Liege,20
1213242,BEL1,2024-08-31,KV Mechelen,Charleroi,266,KV Mechelen,20,736,Charleroi,20
1213245,BEL1,2024-09-01,Club Brugge KV,Cercle Brugge,569,Club Brugge KV,20,741,Cercle Brugge,20
1213246,BEL1,2024-09-01,Gent,Antwerp,631,Gent,20,740,Antwerp,20
1213247,BEL1,2024-09-01,Union St. Gilloise,Anderlecht,1393,Union St. Gilloise,20,554,Anderlecht,20
1213248,BEL1,2024-09-01,Kortrijk,St. Truiden,734,Kortrijk,20,735,St. Truiden,20
1213249,BEL1,2024-09-13,Dender,Standard Liege,6215,Dender,20,733,Standard Liege,20
1213250,BEL1,2024-09-14,Cercle Brugge,Genk,741,Cercle Brugge,20,742,Genk,20
1213253,BEL1,2024-09-14,Anderlecht,KVC Westerlo,554,Anderlecht,20,261,KVC Westerlo,20
1213251,BEL1,2024-09-14,Kortrijk,Club Brugge KV,734,Kortrijk,20,569,Club Brugge KV,20
1213256,BEL1,2024-09-15,Gent,KV Mechelen,631,Gent,20,266,KV Mechelen,20
1213255,BEL1,2024-09-15,Charleroi,Beerschot Wilrijk,736,Charleroi,20,263,Beerschot Wilrijk,20
1213252,BEL1,2024-09-15,Antwerp,Union St. Gilloise,740,Antwerp,20,1393,Union St. Gilloise,20
1213254,BEL1,2024-09-15,St. Truiden,OH Leuven,735,St. Truiden,20,260,OH Leuven,20
1213233,BEL1,2024-09-17,Anderlecht,Genk,554,Anderlecht,20,742,Genk,20
1213260,BEL1,2024-09-20,Standard Liege,Union St. Gilloise,733,Standard Liege,20,1393,Union St. Gilloise,20
1213261,BEL1,2024-09-21,Beerschot Wilrijk,St. Truiden,263,Beerschot Wilrijk,20,735,St. Truiden,20
1213264,BEL1,2024-09-21,KVC Westerlo,Antwerp,261,KVC Westerlo,20,740,Antwerp,20
1213258,BEL1,2024-09-21,Anderlecht,Charleroi,554,Anderlecht,20,736,Charleroi,20
1213263,BEL1,2024-09-22,KV Mechelen,Cercle Brugge,266,KV Mechelen,20,741,Cercle Brugge,20
1213257,BEL1,2024-09-22,Club Brugge KV,Gent,569,Club Brugge KV,20,631,Gent,20
1213262,BEL1,2024-09-22,OH Leuven,Kortrijk,260,OH Leuven,20,734,Kortrijk,20
1213259,BEL1,2024-09-22,Genk,Dender,742,Genk,20,6215,Dender,20
1213234,BEL1,2024-09-26,Cercle Brugge,Gent,741,Cercle Brugge,20,631,Gent,20
1213271,BEL1,2024-09-27,Charleroi,Club Brugge KV,736,Charleroi,20,569,Club Brugge KV,20
1213266,BEL1,2024-09-28,Genk,KV Mechelen,742,Genk,20,266,KV Mechelen,20
1213269,BEL1,2024-09-28,Standard Liege,KVC Westerlo,733,Standard Liege,20,261,KVC Westerlo,20
1213272,BEL1,2024-09-28,Dender,Anderlecht,6215,Dender,20,554,Anderlecht,20
1213265,BEL1,2024-09-29,Union St. Gilloise,Kortrijk,1393,Union St. Gilloise,20,734,Kortrijk,20
1213270,BEL1,2024-09-29,Cercle Brugge,St. Truiden,741,Cercle Brugge,20,735,St. Truiden,20
1213267,BEL1,2024-09-29,Gent,OH Leuven,631,Gent,20,260,OH Leuven,20
1213268,BEL1,2024-09-29,Antwerp,Beerschot Wilrijk,740,Antwerp,20,263,Beerschot Wilrijk,20
1213279,BEL1,2024-10-04,KVC Westerlo,Beerschot Wilrijk,261,KVC Westerlo,20,263,Beerschot Wilrijk,20
1213280,BEL1,2024-10-05,Dender,Charleroi,6215,Dender,20,736,Charleroi,20
1213276,BEL1,2024-10-05,Kortrijk,Genk,734,Kortrijk,20,742,Genk,20
1213277,BEL1,2024-10-05,KV Mechelen,OH Leuven,266,KV Mechelen,20,260,OH Leuven,20
1213274,BEL1,2024-10-06,Anderlecht,Standard Liege,554,Anderlecht,20,733,Standard Liege,20
1213275,BEL1,2024-10-06,Antwerp,Cercle Brugge,740,Antwerp,20,741,Cercle Brugge,20
1213273,BEL1,2024-10-06,Club Brugge KV,Union St. Gilloise,569,Club Brugge KV,19,1393,Union St. Gilloise,20
1213278,BEL1,2024-10-06,St. Truiden,Gent,735,St. Truiden,20,631,Gent,20
1213284,BEL1,2024-10-18,Beerschot Wilrijk,Anderlecht,263,Beerschot Wilrijk,20,554,Anderlecht,20
1213288,BEL1,2024-10-19,KVC Westerlo,Club Brugge KV,261,KVC Westerlo,20,569,Club Brugge KV,20
1213285,BEL1,2024-10-19,Cercle Brugge,Dender,741,Cercle Brugge,20,6215,Dender,20
1213281,BEL1,2024-10-19,Union St. Gilloise,Gent,1393,Union St. Gilloise,20,631,Gent,20
1213287,BEL1,2024-10-20,KV Mechelen,Kortrijk,266,KV Mechelen,20,734,Kortrijk,20
1213283,BEL1,2024-10-20,Standard Liege,Charleroi,733,Standard Liege,20,736,Charleroi,20
1213286,BEL1,2024-10-20,OH Leuven,Antwerp,260,OH Leuven,20,740,Antwerp,20
1213282,BEL1,2024-10-20,Genk,St. Truiden,742,Genk,20,735,St. Truiden,20
1213293,BEL1,2024-10-25,Kortrijk,Beerschot Wilrijk,734,Kortrijk,20,263,Beerschot Wilrijk,20
1213296,BEL1,2024-10-26,Dender,KV Mechelen,6215,Dender,20,266,KV Mechelen,20
1213294,BEL1,2024-10-26,St. Truiden,KVC Westerlo,735,St. Truiden,20,261,KVC Westerlo,20
1213295,BEL1,2024-10-26,Charleroi,OH Leuven,736,Charleroi,20,260,OH Leuven,20
1213289,BEL1,2024-10-27,Club Brugge KV,Anderlecht,569,Club Brugge KV,20,554,Anderlecht,20
1213292,BEL1,2024-10-27,Antwerp,Standard Liege,740,Antwerp,20,733,Standard Liege,20
1213291,BEL1,2024-10-27,Gent,Genk,631,Gent,20,742,Genk,20
1213290,BEL1,2024-10-27,Union St. Gilloise,Cercle Brugge,1393,Union St. Gilloise,20,741,Cercle Brugge,20
1213304,BEL1,2024-11-01,KVC Westerlo,Dender,261,KVC Westerlo,20,6215,Dender,20
1213303,BEL1,2024-11-02,KV Mechelen,Union St. Gilloise,266,KV Mechelen,20,1393,Union St. Gilloise,20
1213299,BEL1,2024-11-02,Standard Liege,St. Truiden,733,Standard Liege,20,735,St. Truiden,20
1213302,BEL1,2024-11-02,OH Leuven,Club Brugge KV,260,OH Leuven,20,569,Club Brugge KV,20
1213300,BEL1,2024-11-03,Beerschot Wilrijk,Gent,263,Beerschot Wilrijk,19,631,Gent,20
1213297,BEL1,2024-11-03,Anderlecht,Kortrijk,554,Anderlecht,20,734,Kortrijk,20
1213301,BEL1,2024-11-03,Cercle Brugge,Charleroi,741,Cercle Brugge,20,736,Charleroi,20
1213298,BEL1,2024-11-03,Genk,Antwerp,742,Genk,20,740,Antwerp,20
1213310,BEL1,2024-11-08,St. Truiden,KV Mechelen,735,St. Truiden,20,266,KV Mechelen,20
1213307,BEL1,2024-11-09,Kortrijk,Antwerp,734,Kortrijk,20,740,Antwerp,20
1213312,BEL1,2024-11-09,Dender,OH Leuven,6215,Dender,20,260,OH Leuven,20
1213311,BEL1,2024-11-09,Charleroi,KVC Westerlo,736,Charleroi,20,261,KVC Westerlo,20
1213306,BEL1,2024-11-10,Gent,Standard Liege,631,Gent,20,733,Standard Liege,20
1213305,BEL1,2024-11-10,Union St. Gilloise,Genk,1393,Union St. Gilloise,20,742,Genk,20
1213309,BEL1,2024-11-10,Cercle Brugge,Anderlecht,741,Cercle Brugge,20,554,Anderlecht,20
1213308,BEL1,2024-11-10,Beerschot Wilrijk,Club Brugge KV,263,Beerschot Wilrijk,20,569,Club Brugge KV,20
1213316,BEL1,2024-11-22,Antwerp,Dender,740,Antwerp,20,6215,Dender,20
1213313,BEL1,2024-11-23,Club Brugge KV,St. Truiden,569,Club Brugge KV,19,735,St. Truiden,20
1213317,BEL1,2024-11-23,Standard Liege,Cercle Brugge,733,Standard Liege,20,741,Cercle Brugge,20
1213315,BEL1,2024-11-23,Genk,Charleroi,742,Genk,20,736,Charleroi,20
1213320,BEL1,2024-11-24,KVC Westerlo,Kortrijk,261,KVC Westerlo,20,734,Kortrijk,20
1213314,BEL1,2024-11-24,Anderlecht,Gent,554,Anderlecht,20,631,Gent,20
1213319,BEL1,2024-11-24,KV Mechelen,Beerschot Wilrijk,266,KV Mechelen,20,263,Beerschot Wilrijk,20
1213318,BEL1,2024-11-24,OH Leuven,Union St. Gilloise,260,OH Leuven,20,1393,Union St. Gilloise,19
1213323,BEL1,2024-11-29,Kortrijk,KV Mechelen,734,Kortrijk,20,266,KV Mechelen,20
1213321,BEL1,2024-11-30,Club Brugge KV,Dender,569,Club Brugge KV,20,6215,Dender,20
1213328,BEL1,2024-11-30,Charleroi,Standard Liege,736,Charleroi,20,733,Standard Liege,20
1213327,BEL1,2024-12-01,KVC Westerlo,Gent,261,KVC Westerlo,20,631,Gent,20
1213322,BEL1,2024-12-01,Union St. Gilloise,Antwerp,1393,Union St. Gilloise,20,740,Antwerp,20
1213326,BEL1,2024-12-01,St. Truiden,Genk,735,St. Truiden,20,742,Genk,20
1213324,BEL1,2024-12-01,Beerschot Wilrijk,Cercle Brugge,263,Beerschot Wilrijk,20,741,Cercle Brugge,20
1213325,BEL1,2024-12-01,OH Leuven,Anderlecht,260,OH Leuven,20,554,Anderlecht,20
1213331,BEL1,2024-12-07,Gent,St. Truiden,631,Gent,20,735,St. Truiden,20
1213333,BEL1,2024-12-07,Standard Liege,OH Leuven,733,Standard Liege,20,260,OH Leuven,20
1213330,BEL1,2024-12-07,Genk,Kortrijk,742,Genk,20,734,Kortrijk,20
1213335,BEL1,2024-12-07,KV Mechelen,Club Brugge KV,266,KV Mechelen,20,569,Club Brugge KV,20
