fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1213756,FRA1,2024-08-23,Paris Saint Germain,Montpellier,85,Paris Saint Germain,20,82,Montpellier,20
1213763,FRA1,2024-08-24,Lyon,Monaco,80,Lyon,20,91,Monaco,20
1213760,FRA1,2024-08-24,Lille,Angers,79,Lille,20,77,Angers,20
1213759,FRA1,2024-08-24,Saint Etienne,Le Havre,1063,Saint Etienne,20,111,Le Havre,20
1213764,FRA1,2024-08-25,Marseille,Reims,81,Marseille,20,93,Reims,20
1213757,FRA1,2024-08-25,Strasbourg,Rennes,95,Strasbourg,20,94,Rennes,20
1213762,FRA1,2024-08-25,Lens,Stade Brestois 29,116,Lens,20,106,Stade Brestois 29,19
1213758,FRA1,2024-08-25,Nantes,Auxerre,83,Nantes,20,108,Auxerre,20
1213761,FRA1,2024-08-25,Nice,Toulouse,84,Nice,20,96,Toulouse,20
1213766,FRA1,2024-08-30,Lyon,Strasbourg,80,Lyon,20,95,Strasbourg,20
1213767,FRA1,2024-08-31,Stade Brestois 29,Saint Etienne,106,Stade Brestois 29,19,1063,Saint Etienne,20
1213768,FRA1,2024-08-31,Montpellier,Nantes,82,Montpellier,20,83,Nantes,20
1213773,FRA1,2024-08-31,Toulouse,Marseille,96,Toulouse,20,81,Marseille,20
1213765,FRA1,2024-09-01,Lille,Paris Saint Germain,79,Lille,20,85,Paris Saint Germain,20
1213771,FRA1,2024-09-01,Le Havre,Auxerre,111,Le Havre,20,108,Auxerre,20
1213772,FRA1,2024-09-01,Reims,Rennes,93,Reims,20,94,Rennes,20
1213769,FRA1,2024-09-01,Angers,Nice,77,Angers,20,84,Nice,20
1213770,FRA1,2024-09-01,Monaco,Lens,91,Monaco,20,116,Lens,20
1213780,FRA1,2024-09-13,Saint Etienne,Lille,1063,Saint Etienne,20,79,Lille,20
1213774,FRA1,2024-09-14,Auxerre,Monaco,108,Auxerre,20,91,Monaco,20
1213782,FRA1,2024-09-14,Paris Saint Germain,Stade Brestois 29,85,Paris Saint Germain,20,106,Stade Brestois 29,20
1213781,FRA1,2024-09-14,Marseille,Nice,81,Marseille,20,84,Nice,20
1213779,FRA1,2024-09-15,Strasbourg,Angers,95,Strasbourg,20,77,Angers,20
1213777,FRA1,2024-09-15,Nantes,Reims,83,Nantes,21,93,Reims,22
1213776,FRA1,2024-09-15,Lens,Lyon,116,Lens,19,80,Lyon,20
1213775,FRA1,2024-09-15,Rennes,Montpellier,94,Rennes,20,82,Montpellier,18
1213778,FRA1,2024-09-15,Toulouse,Le Havre,96,Toulouse,20,111,Le Havre,20
1213784,FRA1,2024-09-20,Nice,Saint Etienne,84,Nice,20,1063,Saint Etienne,20
1213785,FRA1,2024-09-21,Reims,Paris Saint Germain,93,Reims,20,85,Paris Saint Germain,20
1213789,FRA1,2024-09-21,Lille,Strasbourg,79,Lille,20,95,Strasbourg,20
1213790,FRA1,2024-09-21,Rennes,Lens,94,Rennes,20,116,Lens,20
1213787,FRA1,2024-09-22,Angers,Nantes,77,Angers,20,83,Nantes,20
1213788,FRA1,2024-09-22,Montpellier,Auxerre,82,Montpellier,20,108,Auxerre,20
1213783,FRA1,2024-09-22,Lyon,Marseille,80,Lyon,20,81,Marseille,20
1213791,FRA1,2024-09-22,Monaco,Le Havre,91,Monaco,20,111,Le Havre,20
1213786,FRA1,2024-09-22,Stade Brestois 29,Toulouse,106,Stade Brestois 29,20,96,Toulouse,20
1213793,FRA1,2024-09-27,Paris Saint Germain,Rennes,85,Paris Saint Germain,18,94,Rennes,20
1213794,FRA1,2024-09-27,Auxerre,Stade Brestois 29,108,Auxerre,20,106,Stade Brestois 29,20
1213797,FRA1,2024-09-28,Le Havre,Lille,111,Le Havre,20,79,Lille,20
1213795,FRA1,2024-09-28,Lens,Nice,116,Lens,20,84,Nice,20
1213799,FRA1,2024-09-28,Monaco,Montpellier,91,Monaco,20,82,Montpellier,20
1213792,FRA1,2024-09-29,Strasbourg,Marseille,95,Strasbourg,20,81,Marseille,20
1213800,FRA1,2024-09-29,Angers,Reims,77,Angers,20,93,Reims,20
1213798,FRA1,2024-09-29,Toulouse,Lyon,96,Toulouse,20,80,Lyon,20
1213796,FRA1,2024-09-29,Nantes,Saint Etienne,83,Nantes,20,1063,Saint Etienne,20
1213806,FRA1,2024-10-04,Marseille,Angers,81,Marseille,20,77,Angers,20
1213807,FRA1,2024-10-05,Rennes,Monaco,94,Rennes,20,91,Monaco,20
1213804,FRA1,2024-10-05,Saint Etienne,Auxerre,1063,Saint Etienne,20,108,Auxerre,20
1213803,FRA1,2024-10-05,Lille,Toulouse,79,Lille,20,96,Toulouse,20
1213809,FRA1,2024-10-06,Reims,Montpellier,93,Reims,20,82,Montpellier,19
1213805,FRA1,2024-10-06,Stade Brestois 29,Le Havre,106,Stade Brestois 29,20,111,Le Havre,20
1213802,FRA1,2024-10-06,Nice,Paris Saint Germain,84,Nice,20,85,Paris Saint Germain,20
1213801,FRA1,2024-10-06,Lyon,Nantes,80,Lyon,20,83,Nantes,19
1213808,FRA1,2024-10-06,Strasbourg,Lens,95,Strasbourg,20,116,Lens,20
1213815,FRA1,2024-10-18,Monaco,Lille,91,Monaco,20,79,Lille,20
1213816,FRA1,2024-10-19,Saint Etienne,Lens,1063,Saint Etienne,20,116,Lens,20
1213818,FRA1,2024-10-19,Paris Saint Germain,Strasbourg,85,Paris Saint Germain,20,95,Strasbourg,20
1213817,FRA1,2024-10-19,Stade Brestois 29,Rennes,106,Stade Brestois 29,20,94,Rennes,20
1213813,FRA1,2024-10-20,Nantes,Nice,83,Nantes,20,84,Nice,20
1213812,FRA1,2024-10-20,Le Havre,Lyon,111,Le Havre,20,80,Lyon,20
1213810,FRA1,2024-10-20,Auxerre,Reims,108,Auxerre,20,93,Reims,20
1213811,FRA1,2024-10-20,Toulouse,Angers,96,Toulouse,20,77,Angers,20
1213814,FRA1,2024-10-20,Montpellier,Marseille,82,Montpellier,19,81,Marseille,20
1213825,FRA1,2024-10-25,Rennes,Le Havre,94,Rennes,20,111,Le Havre,20
1213827,FRA1,2024-10-26,Reims,Stade Brestois 29,93,Reims,20,106,Stade Brestois 29,20
1213826,FRA1,2024-10-26,Angers,Saint Etienne,77,Angers,20,1063,Saint Etienne,20
1213820,FRA1,2024-10-26,Lens,Lille,116,Lens,20,79,Lille,20
1213821,FRA1,2024-10-27,Marseille,Paris Saint Germain,81,Marseille,20,85,Paris Saint Germain,20
1213823,FRA1,2024-10-27,Montpellier,Toulouse,82,Montpellier,20,96,Toulouse,20
1213822,FRA1,2024-10-27,Lyon,Auxerre,80,Lyon,20,108,Auxerre,20
1213819,FRA1,2024-10-27,Nice,Monaco,84,Nice,20,91,Monaco,19
1213824,FRA1,2024-10-27,Strasbourg,Nantes,95,Strasbourg,20,83,Nantes,20
1213830,FRA1,2024-11-01,Monaco,Angers,91,Monaco,20,77,Angers,20
1213833,FRA1,2024-11-01,Lille,Lyon,79,Lille,20,80,Lyon,20
1213835,FRA1,2024-11-02,Stade Brestois 29,Nice,106,Stade Brestois 29,20,84,Nice,20
1213834,FRA1,2024-11-02,Saint Etienne,Strasbourg,1063,Saint Etienne,20,95,Strasbourg,20
1213836,FRA1,2024-11-02,Paris Saint Germain,Lens,85,Paris Saint Germain,20,116,Lens,20
1213832,FRA1,2024-11-03,Nantes,Marseille,83,Nantes,20,81,Marseille,20
1213831,FRA1,2024-11-03,Le Havre,Montpellier,111,Le Havre,20,82,Montpellier,20
1213828,FRA1,2024-11-03,Auxerre,Rennes,108,Auxerre,20,94,Rennes,20
1213829,FRA1,2024-11-03,Toulouse,Reims,96,Toulouse,20,93,Reims,20
1213837,FRA1,2024-11-08,Marseille,Auxerre,81,Marseille,20,108,Auxerre,20
1213845,FRA1,2024-11-09,Angers,Paris Saint Germain,77,Angers,20,85,Paris Saint Germain,20
1213842,FRA1,2024-11-09,Lens,Nantes,116,Lens,20,83,Nantes,20
1213841,FRA1,2024-11-09,Strasbourg,Monaco,95,Strasbourg,20,91,Monaco,20
1213840,FRA1,2024-11-10,Le Havre,Reims,111,Le Havre,20,93,Reims,20
1213843,FRA1,2024-11-10,Rennes,Toulouse,94,Rennes,20,96,Toulouse,20
1213838,FRA1,2024-11-10,Lyon,Saint Etienne,80,Lyon,20,1063,Saint Etienne,20
1213844,FRA1,2024-11-10,Nice,Lille,84,Nice,20,79,Lille,20
1213839,FRA1,2024-11-10,Montpellier,Stade Brestois 29,82,Montpellier,20,106,Stade Brestois 29,20
1213852,FRA1,2024-11-22,Monaco,Stade Brestois 29,91,Monaco,20,106,Stade Brestois 29,20
1213846,FRA1,2024-11-22,Paris Saint Germain,Toulouse,85,Paris Saint Germain,20,96,Toulouse,20
1213849,FRA1,2024-11-23,Saint Etienne,Montpellier,1063,Saint Etienne,20,82,Montpellier,20
1213854,FRA1,2024-11-23,Reims,Lyon,93,Reims,20,80,Lyon,20
1213847,FRA1,2024-11-23,Lens,Marseille,116,Lens,20,81,Marseille,20
1213850,FRA1,2024-11-24,Lille,Rennes,79,Lille,20,94,Rennes,20
1213851,FRA1,2024-11-24,Nantes,Le Havre,83,Nantes,20,111,Le Havre,20
1213853,FRA1,2024-11-24,Auxerre,Angers,108,Auxerre,20,77,Angers,20
1213848,FRA1,2024-11-24,Nice,Strasbourg,84,Nice,20,95,Strasbourg,20
1213855,FRA1,2024-11-29,Reims,Lens,93,Reims,20,116,Lens,20
1213861,FRA1,2024-11-30,Paris Saint Germain,Nantes,85,Paris Saint Germain,20,83,Nantes,20
1213856,FRA1,2024-11-30,Rennes,Saint Etienne,94,Rennes,20,1063,Saint Etienne,20
1213859,FRA1,2024-11-30,Stade Brestois 29,Strasbourg,106,Stade Brestois 29,20,95,Strasbourg,20
1213862,FRA1,2024-12-01,Marseille,Monaco,81,Marseille,20,91,Monaco,20
1213857,FRA1,2024-12-01,Le Havre,Angers,111,Le Havre,20,77,Angers,20
1213860,FRA1,2024-12-01,Montpellier,Lille,82,Montpellier,20,79,Lille,20
1213863,FRA1,2024-12-01,Lyon,Nice,80,Lyon,20,84,Nice,20
1213858,FRA1,2024-12-01,Toulouse,Auxerre,96,Toulouse,20,108,Auxerre,20
