fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1223975,GER1,2024-08-23,Borussia Mönchengladbach,Bayer Leverkusen,163,Borussia Mönchengladbach,20,168,Bayer Leverkusen,20
1223979,GER1,2024-08-24,SC Freiburg,VfB Stuttgart,160,SC Freiburg,20,172,VfB Stuttgart,20
1223982,GER1,2024-08-24,FSV Mainz 05,Union Berlin,164,FSV Mainz 05,20,182,Union Berlin,20
1223978,GER1,2024-08-24,1899 Hoffenheim,Holstein Kiel,167,1899 Hoffenheim,20,191,Holstein Kiel,20
1223980,GER1,2024-08-24,FC Augsburg,Werder Bremen,170,FC Augsburg,20,162,Werder Bremen,20
1223976,GER1,2024-08-24,RB Leipzig,VfL Bochum,173,RB Leipzig,20,176,VfL Bochum,20
1223977,GER1,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,165,Borussia Dortmund,20,169,Eintracht Frankfurt,20
1223981,GER1,2024-08-25,VfL Wolfsburg,Bayern München,161,VfL Wolfsburg,20,157,Bayern München,20
1223983,GER1,2024-08-25,FC St. Pauli,1. FC Heidenheim,186,FC St. Pauli,20,180,1. FC Heidenheim,20
1223990,GER1,2024-08-30,Union Berlin,FC St. Pauli,182,Union Berlin,20,186,FC St. Pauli,20
1223989,GER1,2024-08-31,Werder Bremen,Borussia Dortmund,162,Werder Bremen,20,165,Borussia Dortmund,20
1223991,GER1,2024-08-31,VfL Bochum,Borussia Mönchengladbach,176,VfL Bochum,20,163,Borussia Mönchengladbach,20
1223992,GER1,2024-08-31,Holstein Kiel,VfL Wolfsburg,191,Holstein Kiel,20,161,VfL Wolfsburg,20
1223984,GER1,2024-08-31,Bayer Leverkusen,RB Leipzig,168,Bayer Leverkusen,19,173,RB Leipzig,20
1223985,GER1,2024-08-31,VfB Stuttgart,FSV Mainz 05,172,VfB Stuttgart,20,164,FSV Mainz 05,20
1223987,GER1,2024-08-31,Eintracht Frankfurt,1899 Hoffenheim,169,Eintracht Frankfurt,20,167,1899 Hoffenheim,20
1223988,GER1,2024-09-01,1. FC Heidenheim,FC Augsburg,180,1. FC Heidenheim,20,170,FC Augsburg,20
1223986,GER1,2024-09-01,Bayern München,SC Freiburg,157,Bayern München,20,160,SC Freiburg,20
1223994,GER1,2024-09-13,Borussia Dortmund,1. FC Heidenheim,165,Borussia Dortmund,20,180,1. FC Heidenheim,20
1223995,GER1,2024-09-14,1899 Hoffenheim,Bayer Leverkusen,167,1899 Hoffenheim,20,168,Bayer Leverkusen,20
1223996,GER1,2024-09-14,SC Freiburg,VfL Bochum,160,SC Freiburg,20,176,VfL Bochum,20
1223993,GER1,2024-09-14,RB Leipzig,Union Berlin,173,RB Leipzig,20,182,Union Berlin,20
1224000,GER1,2024-09-14,Borussia Mönchengladbach,VfB Stuttgart,163,Borussia Mönchengladbach,20,172,VfB Stuttgart,20
1224001,GER1,2024-09-14,Holstein Kiel,Bayern München,191,Holstein Kiel,20,157,Bayern München,20
1223998,GER1,2024-09-14,VfL Wolfsburg,Eintracht Frankfurt,161,VfL Wolfsburg,20,169,Eintracht Frankfurt,20
1223997,GER1,2024-09-15,FC Augsburg,FC St. Pauli,170,FC Augsburg,20,186,FC St. Pauli,20
1223999,GER1,2024-09-15,FSV Mainz 05,Werder Bremen,164,FSV Mainz 05,20,162,Werder Bremen,20
1224007,GER1,2024-09-20,FC Augsburg,FSV Mainz 05,170,FC Augsburg,20,164,FSV Mainz 05,20
1224008,GER1,2024-09-21,Union Berlin,1899 Hoffenheim,182,Union Berlin,20,167,1899 Hoffenheim,20
1224005,GER1,2024-09-21,1. FC Heidenheim,SC Freiburg,180,1. FC Heidenheim,20,160,SC Freiburg,20
1224006,GER1,2024-09-21,Werder Bremen,Bayern München,162,Werder Bremen,20,157,Bayern München,20
1224009,GER1,2024-09-21,VfL Bochum,Holstein Kiel,176,VfL Bochum,20,191,Holstein Kiel,20
1224004,GER1,2024-09-21,Eintracht Frankfurt,Borussia Mönchengladbach,169,Eintracht Frankfurt,20,163,Borussia Mönchengladbach,20
1224002,GER1,2024-09-22,Bayer Leverkusen,VfL Wolfsburg,168,Bayer Leverkusen,20,161,VfL Wolfsburg,20
1224003,GER1,2024-09-22,VfB Stuttgart,Borussia Dortmund,172,VfB Stuttgart,20,165,Borussia Dortmund,20
1224010,GER1,2024-09-22,FC St. Pauli,RB Leipzig,186,FC St. Pauli,20,173,RB Leipzig,20
1224013,GER1,2024-09-27,Borussia Dortmund,VfL Bochum,165,Borussia Dortmund,19,176,VfL Bochum,20
1224015,GER1,2024-09-28,SC Freiburg,FC St. Pauli,160,SC Freiburg,20,186,FC St. Pauli,20
1224017,GER1,2024-09-28,FSV Mainz 05,1. FC Heidenheim,164,FSV Mainz 05,20,180,1. FC Heidenheim,20
1224012,GER1,2024-09-28,RB Leipzig,FC Augsburg,173,RB Leipzig,20,170,FC Augsburg,20
1224016,GER1,2024-09-28,VfL Wolfsburg,VfB Stuttgart,161,VfL Wolfsburg,20,172,VfB Stuttgart,20
1224011,GER1,2024-09-28,Bayern München,Bayer Leverkusen,157,Bayern München,20,168,Bayer Leverkusen,20
1224018,GER1,2024-09-28,Borussia Mönchengladbach,Union Berlin,163,Borussia Mönchengladbach,20,182,Union Berlin,20
1224019,GER1,2024-09-29,Holstein Kiel,Eintracht Frankfurt,191,Holstein Kiel,20,169,Eintracht Frankfurt,20
1224014,GER1,2024-09-29,1899 Hoffenheim,Werder Bremen,167,1899 Hoffenheim,20,162,Werder Bremen,20
1224025,GER1,2024-10-04,FC Augsburg,Borussia Mönchengladbach,170,FC Augsburg,20,163,Borussia Mönchengladbach,20
1224024,GER1,2024-10-05,Werder Bremen,SC Freiburg,162,Werder Bremen,19,160,SC Freiburg,20
1224028,GER1,2024-10-05,FC St. Pauli,FSV Mainz 05,186,FC St. Pauli,20,164,FSV Mainz 05,20
1224020,GER1,2024-10-05,Bayer Leverkusen,Holstein Kiel,168,Bayer Leverkusen,20,191,Holstein Kiel,20
1224027,GER1,2024-10-05,VfL Bochum,VfL Wolfsburg,176,VfL Bochum,20,161,VfL Wolfsburg,20
1224026,GER1,2024-10-05,Union Berlin,Borussia Dortmund,182,Union Berlin,20,165,Borussia Dortmund,20
1224023,GER1,2024-10-06,1. FC Heidenheim,RB Leipzig,180,1. FC Heidenheim,20,173,RB Leipzig,20
