fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1234644,ITA2,2024-08-23,Modena,Bari,899,Modena,23,508,Bari,23
1234645,ITA2,2024-08-24,Pisa,Palermo,801,Pisa,23,522,Palermo,23
1234640,ITA2,2024-08-24,Brescia,Cittadella,518,Brescia,23,510,Cittadella,22
1234648,ITA2,2024-08-24,Spezia,Frosinone,515,Spezia,23,512,Frosinone,23
1234642,ITA2,2024-08-24,Cremonese,Carrarese,520,Cremonese,23,1581,Carrarese,23
1234647,ITA2,2024-08-24,Sassuolo,Cesena,488,Sassuolo,23,509,Cesena,21
1234649,ITA2,2024-08-24,Sudtirol,Salernitana,1578,Sudtirol,23,514,Salernitana,21
1234646,ITA2,2024-08-24,Sampdoria,Reggiana,498,Sampdoria,23,880,Reggiana,22
1234641,ITA2,2024-08-25,Catanzaro,Juve Stabia,1687,Catanzaro,22,863,Juve Stabia,23
1234643,ITA2,2024-08-25,Mantova,Cosenza,1693,Mantova,23,10137,Cosenza,23
1234650,ITA2,2024-08-27,Bari,Sassuolo,508,Bari,23,488,Sassuolo,23
1234653,ITA2,2024-08-27,Cittadella,Pisa,510,Cittadella,23,801,Pisa,23
1234655,ITA2,2024-08-27,Cremonese,Palermo,520,Cremonese,23,522,Palermo,23
1234656,ITA2,2024-08-27,Frosinone,Modena,512,Frosinone,23,899,Modena,23
1234658,ITA2,2024-08-27,Reggiana,Brescia,880,Reggiana,22,518,Brescia,23
1234651,ITA2,2024-08-27,Carrarese,Sudtirol,1581,Carrarese,23,1578,Sudtirol,23
1234659,ITA2,2024-08-27,Salernitana,Sampdoria,514,Salernitana,22,498,Sampdoria,23
1234654,ITA2,2024-08-28,Cosenza,Spezia,10137,Cosenza,23,515,Spezia,23
1234657,ITA2,2024-08-28,Juve Stabia,Mantova,863,Juve Stabia,23,1693,Mantova,23
1234652,ITA2,2024-08-28,Cesena,Catanzaro,509,Cesena,23,1687,Catanzaro,23
1234665,ITA2,2024-08-31,Pisa,Reggiana,801,Pisa,23,880,Reggiana,23
1234667,ITA2,2024-08-31,Sassuolo,Cremonese,488,Sassuolo,23,520,Cremonese,22
1234663,ITA2,2024-08-31,Modena,Cittadella,899,Modena,23,510,Cittadella,21
1234666,ITA2,2024-08-31,Sampdoria,Bari,498,Sampdoria,23,508,Bari,23
1234669,ITA2,2024-08-31,Sudtirol,Brescia,1578,Sudtirol,23,518,Brescia,23
1234662,ITA2,2024-09-01,Mantova,Salernitana,1693,Mantova,23,514,Salernitana,23
1234660,ITA2,2024-09-01,Catanzaro,Carrarese,1687,Catanzaro,23,1581,Carrarese,23
1234661,ITA2,2024-09-01,Frosinone,Juve Stabia,512,Frosinone,23,863,Juve Stabia,23
1234668,ITA2,2024-09-01,Spezia,Cesena,515,Spezia,23,509,Cesena,23
1234664,ITA2,2024-09-01,Palermo,Cosenza,522,Palermo,22,10137,Cosenza,23
1234673,ITA2,2024-09-13,Cesena,Modena,509,Cesena,23,899,Modena,23
1234676,ITA2,2024-09-14,Cremonese,Spezia,520,Cremonese,23,515,Spezia,23
1234670,ITA2,2024-09-14,Bari,Mantova,508,Bari,23,1693,Mantova,23
1234674,ITA2,2024-09-14,Cittadella,Catanzaro,510,Cittadella,23,1687,Catanzaro,23
1234671,ITA2,2024-09-14,Brescia,Frosinone,518,Brescia,23,512,Frosinone,23
1234677,ITA2,2024-09-14,Juve Stabia,Palermo,863,Juve Stabia,23,522,Palermo,23
1234679,ITA2,2024-09-15,Salernitana,Pisa,514,Salernitana,23,801,Pisa,23
1234678,ITA2,2024-09-15,Reggiana,Sudtirol,880,Reggiana,23,1578,Sudtirol,23
1234675,ITA2,2024-09-15,Cosenza,Sampdoria,10137,Cosenza,23,498,Sampdoria,23
1234672,ITA2,2024-09-15,Carrarese,Sassuolo,1581,Carrarese,23,488,Sassuolo,23
1234680,ITA2,2024-09-20,Catanzaro,Cremonese,1687,Catanzaro,23,520,Cremonese,21
1234684,ITA2,2024-09-21,Modena,Juve Stabia,899,Modena,21,863,Juve Stabia,23
1234687,ITA2,2024-09-21,Reggiana,Salernitana,880,Reggiana,23,514,Salernitana,23
1234681,ITA2,2024-09-21,Cosenza,Sassuolo,10137,Cosenza,23,488,Sassuolo,23
1234685,ITA2,2024-09-21,Palermo,Cesena,522,Palermo,22,509,Cesena,23
1234686,ITA2,2024-09-21,Pisa,Brescia,801,Pisa,23,518,Brescia,21
1234688,ITA2,2024-09-21,Sampdoria,Sudtirol,498,Sampdoria,23,1578,Sudtirol,23
1234689,ITA2,2024-09-22,Spezia,Carrarese,515,Spezia,23,1581,Carrarese,23
1234682,ITA2,2024-09-22,Frosinone,Bari,512,Frosinone,23,508,Bari,23
1234683,ITA2,2024-09-22,Mantova,Cittadella,1693,Mantova,23,510,Cittadella,21
1234694,ITA2,2024-09-27,Cittadella,Frosinone,510,Cittadella,22,512,Frosinone,23
1234698,ITA2,2024-09-28,Sassuolo,Spezia,488,Sassuolo,23,515,Spezia,23
1234690,ITA2,2024-09-28,Bari,Cosenza,508,Bari,23,10137,Cosenza,23
1234692,ITA2,2024-09-28,Carrarese,Reggiana,1581,Carrarese,23,880,Reggiana,23
1234696,ITA2,2024-09-29,Modena,Sampdoria,899,Modena,21,498,Sampdoria,23
1234695,ITA2,2024-09-29,Juve Stabia,Pisa,863,Juve Stabia,23,801,Pisa,23
1234693,ITA2,2024-09-29,Cesena,Mantova,509,Cesena,23,1693,Mantova,23
1234697,ITA2,2024-09-29,Salernitana,Catanzaro,514,Salernitana,23,1687,Catanzaro,23
1234699,ITA2,2024-09-30,Sudtirol,Palermo,1578,Sudtirol,23,522,Palermo,23
1234691,ITA2,2024-09-30,Brescia,Cremonese,518,Brescia,23,520,Cremonese,22
1234707,ITA2,2024-10-04,Sampdoria,Juve Stabia,498,Sampdoria,23,863,Juve Stabia,22
1234703,ITA2,2024-10-05,Frosinone,Carrarese,512,Frosinone,23,1581,Carrarese,23
1234708,ITA2,2024-10-05,Sassuolo,Cittadella,488,Sassuolo,23,510,Cittadella,23
1234706,ITA2,2024-10-05,Pisa,Cesena,801,Pisa,22,509,Cesena,23
1234709,ITA2,2024-10-05,Spezia,Reggiana,515,Spezia,23,880,Reggiana,23
1234704,ITA2,2024-10-06,Mantova,Brescia,1693,Mantova,23,518,Brescia,23
1234702,ITA2,2024-10-06,Cremonese,Bari,520,Cremonese,23,508,Bari,23
1234705,ITA2,2024-10-06,Palermo,Salernitana,522,Palermo,23,514,Salernitana,23
1234700,ITA2,2024-10-06,Catanzaro,Modena,1687,Catanzaro,23,899,Modena,23
1234701,ITA2,2024-10-06,Cosenza,Sudtirol,10137,Cosenza,23,1578,Sudtirol,23
1234710,ITA2,2024-10-18,Bari,Catanzaro,508,Bari,22,1687,Catanzaro,23
1234714,ITA2,2024-10-19,Cittadella,Cosenza,510,Cittadella,23,10137,Cosenza,23
1234718,ITA2,2024-10-19,Salernitana,Spezia,514,Salernitana,23,515,Spezia,23
1234711,ITA2,2024-10-19,Brescia,Sassuolo,518,Brescia,19,488,Sassuolo,23
1234719,ITA2,2024-10-19,Sudtirol,Pisa,1578,Sudtirol,21,801,Pisa,23
1234716,ITA2,2024-10-19,Modena,Palermo,899,Modena,23,522,Palermo,22
1234715,ITA2,2024-10-20,Juve Stabia,Cremonese,863,Juve Stabia,23,520,Cremonese,23
1234717,ITA2,2024-10-20,Reggiana,Frosinone,880,Reggiana,23,512,Frosinone,23
1234712,ITA2,2024-10-20,Carrarese,Mantova,1581,Carrarese,23,1693,Mantova,23
1234713,ITA2,2024-10-20,Cesena,Sampdoria,509,Cesena,22,498,Sampdoria,23
1234729,ITA2,2024-10-25,Spezia,Bari,515,Spezia,23,508,Bari,23
1234728,ITA2,2024-10-26,Sassuolo,Modena,488,Sassuolo,23,899,Modena,23
1234720,ITA2,2024-10-26,Carrarese,Cittadella,1581,Carrarese,23,510,Cittadella,23
1234723,ITA2,2024-10-26,Cosenza,Juve Stabia,10137,Cosenza,23,863,Juve Stabia,23
1234722,ITA2,2024-10-26,Cesena,Brescia,509,Cesena,23,518,Brescia,20
1234726,ITA2,2024-10-26,Palermo,Reggiana,522,Palermo,23,880,Reggiana,23
1234724,ITA2,2024-10-26,Cremonese,Salernitana,520,Cremonese,24,514,Salernitana,23
1234721,ITA2,2024-10-27,Catanzaro,Sudtirol,1687,Catanzaro,23,1578,Sudtirol,21
1234727,ITA2,2024-10-27,Sampdoria,Mantova,498,Sampdoria,23,1693,Mantova,23
1234725,ITA2,2024-10-27,Frosinone,Pisa,512,Frosinone,23,801,Pisa,23
1234730,ITA2,2024-10-29,Bari,Carrarese,508,Bari,22,1581,Carrarese,23
1234738,ITA2,2024-10-29,Salernitana,Cesena,514,Salernitana,23,509,Cesena,23
1234731,ITA2,2024-10-29,Brescia,Spezia,518,Brescia,21,515,Spezia,23
1234733,ITA2,2024-10-29,Juve Stabia,Sassuolo,863,Juve Stabia,23,488,Sassuolo,23
1234737,ITA2,2024-10-29,Reggiana,Cosenza,880,Reggiana,23,10137,Cosenza,23
1234735,ITA2,2024-10-29,Modena,Cremonese,899,Modena,23,520,Cremonese,23
1234739,ITA2,2024-10-30,Sudtirol,Frosinone,1578,Sudtirol,23,512,Frosinone,23
1234736,ITA2,2024-10-30,Pisa,Catanzaro,801,Pisa,23,1687,Catanzaro,23
1234732,ITA2,2024-10-30,Cittadella,Sampdoria,510,Cittadella,23,498,Sampdoria,23
1234734,ITA2,2024-10-30,Mantova,Palermo,1693,Mantova,23,522,Palermo,22
1234741,ITA2,2024-11-02,Carrarese,Juve Stabia,1581,Carrarese,23,863,Juve Stabia,23
1234749,ITA2,2024-11-02,Spezia,Modena,515,Spezia,23,899,Modena,22
1234740,ITA2,2024-11-02,Bari,Reggiana,508,Bari,23,880,Reggiana,23
1234744,ITA2,2024-11-03,Cosenza,Salernitana,10137,Cosenza,23,514,Salernitana,23
1234743,ITA2,2024-11-03,Cesena,Sudtirol,509,Cesena,23,1578,Sudtirol,23
1234745,ITA2,2024-11-03,Cremonese,Pisa,520,Cremonese,23,801,Pisa,23
1234746,ITA2,2024-11-03,Palermo,Cittadella,522,Palermo,23,510,Cittadella,22
1234742,ITA2,2024-11-03,Catanzaro,Frosinone,1687,Catanzaro,23,512,Frosinone,23
1234747,ITA2,2024-11-03,Sampdoria,Brescia,498,Sampdoria,23,518,Brescia,20
1234748,ITA2,2024-11-03,Sassuolo,Mantova,488,Sassuolo,23,1693,Mantova,23
1234752,ITA2,2024-11-08,Frosinone,Palermo,512,Frosinone,22,522,Palermo,23
1234754,ITA2,2024-11-09,Mantova,Cremonese,1693,Mantova,23,520,Cremonese,22
1234755,ITA2,2024-11-09,Modena,Carrarese,899,Modena,23,1581,Carrarese,23
1234759,ITA2,2024-11-09,Sudtirol,Sassuolo,1578,Sudtirol,23,488,Sassuolo,23
1234750,ITA2,2024-11-09,Brescia,Cosenza,518,Brescia,22,10137,Cosenza,23
1234756,ITA2,2024-11-09,Pisa,Sampdoria,801,Pisa,23,498,Sampdoria,23
1234751,ITA2,2024-11-10,Cittadella,Cesena,510,Cittadella,21,509,Cesena,23
1234753,ITA2,2024-11-10,Juve Stabia,Spezia,863,Juve Stabia,23,515,Spezia,23
1234757,ITA2,2024-11-10,Reggiana,Catanzaro,880,Reggiana,23,1687,Catanzaro,23
1234758,ITA2,2024-11-10,Salernitana,Bari,514,Salernitana,23,508,Bari,23
1234764,ITA2,2024-11-22,Cosenza,Modena,10137,Cosenza,23,899,Modena,23
1234763,ITA2,2024-11-23,Cesena,Reggiana,509,Cesena,23,880,Reggiana,23
1234762,ITA2,2024-11-23,Catanzaro,Mantova,1687,Catanzaro,23,1693,Mantova,23
1234761,ITA2,2024-11-23,Carrarese,Pisa,1581,Carrarese,23,801,Pisa,23
1234766,ITA2,2024-11-23,Juve Stabia,Brescia,863,Juve Stabia,23,518,Brescia,20
1234768,ITA2,2024-11-23,Sassuolo,Salernitana,488,Sassuolo,23,514,Salernitana,21
1234767,ITA2,2024-11-24,Palermo,Sampdoria,522,Palermo,23,498,Sampdoria,23
1234765,ITA2,2024-11-24,Cremonese,Frosinone,520,Cremonese,23,512,Frosinone,22
1234769,ITA2,2024-11-24,Spezia,Sudtirol,515,Spezia,23,1578,Sudtirol,23
1234760,ITA2,2024-11-24,Bari,Cittadella,508,Bari,22,510,Cittadella,20
1234776,ITA2,2024-11-29,Reggiana,Sassuolo,880,Reggiana,23,488,Sassuolo,23
1234779,ITA2,2024-11-30,Sudtirol,Cremonese,1578,Sudtirol,22,520,Cremonese,23
1234770,ITA2,2024-11-30,Brescia,Bari,518,Brescia,22,508,Bari,23
1234771,ITA2,2024-11-30,Cittadella,Juve Stabia,510,Cittadella,20,863,Juve Stabia,23
1234778,ITA2,2024-11-30,Sampdoria,Catanzaro,498,Sampdoria,22,1687,Catanzaro,23
1234773,ITA2,2024-11-30,Mantova,Modena,1693,Mantova,23,899,Modena,23
1234777,ITA2,2024-12-01,Salernitana,Carrarese,514,Salernitana,23,1581,Carrarese,23
1234775,ITA2,2024-12-01,Pisa,Cosenza,801,Pisa,22,10137,Cosenza,23
1234772,ITA2,2024-12-01,Frosinone,Cesena,512,Frosinone,23,509,Cesena,23
1234774,ITA2,2024-12-01,Palermo,Spezia,522,Palermo,23,515,Spezia,23
1234785,ITA2,2024-12-06,Juve Stabia,Sudtirol,863,Juve Stabia,23,1578,Sudtirol,23
1234781,ITA2,2024-12-07,Carrarese,Palermo,1581,Carrarese,23,522,Palermo,23
1234786,ITA2,2024-12-07,Mantova,Pisa,1693,Mantova,23,801,Pisa,23
1234780,ITA2,2024-12-07,Bari,Cesena,508,Bari,23,509,Cesena,23
1234787,ITA2,2024-12-07,Modena,Salernitana,899,Modena,23,514,Salernitana,22
1234783,ITA2,2024-12-07,Cosenza,Frosinone,10137,Cosenza,23,512,Frosinone,23
1234782,ITA2,2024-12-08,Catanzaro,Brescia,1687,Catanzaro,22,518,Brescia,23
1234789,ITA2,2024-12-08,Spezia,Cittadella,515,Spezia,23,510,Cittadella,20
1234784,ITA2,2024-12-08,Cremonese,Reggiana,520,Cremonese,23,880,Reggiana,23
1234788,ITA2,2024-12-08,Sassuolo,Sampdoria,488,Sassuolo,23,498,Sampdoria,23
1234795,ITA2,2024-12-13,Pisa,Bari,801,Pisa,23,508,Bari,23
1234798,ITA2,2024-12-14,Sampdoria,Spezia,498,Sampdoria,23,515,Spezia,23
1234799,ITA2,2024-12-14,Sudtirol,Mantova,1578,Sudtirol,22,1693,Mantova,23
1234793,ITA2,2024-12-14,Frosinone,Sassuolo,512,Frosinone,23,488,Sassuolo,23
1234791,ITA2,2024-12-14,Cesena,Cosenza,509,Cesena,23,10137,Cosenza,23
1234796,ITA2,2024-12-14,Reggiana,Modena,880,Reggiana,23,899,Modena,23
1234794,ITA2,2024-12-15,Palermo,Catanzaro,522,Palermo,22,1687,Catanzaro,22
1234792,ITA2,2024-12-15,Cittadella,Cremonese,510,Cittadella,22,520,Cremonese,23
1234790,ITA2,2024-12-15,Brescia,Carrarese,518,Brescia,22,1581,Carrarese,23
1234797,ITA2,2024-12-15,Salernitana,Juve Stabia,514,Salernitana,23,863,Juve Stabia,22
1234808,ITA2,2024-12-20,Salernitana,Brescia,514,Salernitana,23,518,Brescia,21
1234803,ITA2,2024-12-21,Cittadella,Reggiana,510,Cittadella,21,880,Reggiana,23
1234802,ITA2,2024-12-21,Catanzaro,Spezia,1687,Catanzaro,23,515,Spezia,23
1234807,ITA2,2024-12-21,Modena,Pisa,899,Modena,23,801,Pisa,23
1234800,ITA2,2024-12-21,Bari,Sudtirol,508,Bari,23,1578,Sudtirol,22
1234801,ITA2,2024-12-21,Carrarese,Cosenza,1581,Carrarese,23,10137,Cosenza,23
1234809,ITA2,2024-12-21,Sassuolo,Palermo,488,Sassuolo,23,522,Palermo,21
1234806,ITA2,2024-12-21,Mantova,Frosinone,1693,Mantova,23,512,Frosinone,23
1234805,ITA2,2024-12-22,Juve Stabia,Cesena,863,Juve Stabia,21,509,Cesena,23
1234804,ITA2,2024-12-22,Cremonese,Sampdoria,520,Cremonese,23,498,Sampdoria,23
1234815,ITA2,2024-12-26,Pisa,Sassuolo,801,Pisa,23,488,Sassuolo,23
1234816,ITA2,2024-12-26,Reggiana,Juve Stabia,880,Reggiana,23,863,Juve Stabia,21
1234812,ITA2,2024-12-26,Cosenza,Catanzaro,10137,Cosenza,23,1687,Catanzaro,23
1234810,ITA2,2024-12-26,Brescia,Modena,518,Brescia,23,899,Modena,23
1234819,ITA2,2024-12-26,Sudtirol,Cittadella,1578,Sudtirol,22,510,Cittadella,22
1234811,ITA2,2024-12-26,Cesena,Cremonese,509,Cesena,22,520,Cremonese,22
1234814,ITA2,2024-12-26,Palermo,Bari,522,Palermo,23,508,Bari,23
1234817,ITA2,2024-12-26,Sampdoria,Carrarese,498,Sampdoria,23,1581,Carrarese,23
1234818,ITA2,2024-12-26,Spezia,Mantova,515,Spezia,23,1693,Mantova,23
1234813,ITA2,2024-12-26,Frosinone,Salernitana,512,Frosinone,23,514,Salernitana,23
1234829,ITA2,2024-12-29,Sassuolo,Cosenza,488,Sassuolo,23,10137,Cosenza,22
1234824,ITA2,2024-12-29,Cremonese,Brescia,520,Cremonese,23,518,Brescia,23
1234827,ITA2,2024-12-29,Modena,Sudtirol,899,Modena,23,1578,Sudtirol,23
1234826,ITA2,2024-12-29,Mantova,Reggiana,1693,Mantova,21,880,Reggiana,23
1234821,ITA2,2024-12-29,Carrarese,Cesena,1581,Carrarese,23,509,Cesena,23
1234820,ITA2,2024-12-29,Bari,Spezia,508,Bari,21,515,Spezia,23
1234822,ITA2,2024-12-29,Catanzaro,Salernitana,1687,Catanzaro,23,514,Salernitana,23
1234828,ITA2,2024-12-29,Sampdoria,Pisa,498,Sampdoria,23,801,Pisa,23
1234825,ITA2,2024-12-29,Juve Stabia,Frosinone,863,Juve Stabia,23,512,Frosinone,23
1234823,ITA2,2024-12-29,Cittadella,Palermo,510,Cittadella,23,522,Palermo,21
1234831,ITA2,2025-01-12,Cesena,Cittadella,509,Cesena,23,510,Cittadella,23
1234837,ITA2,2025-01-12,Salernitana,Sassuolo,514,Salernitana,23,488,Sassuolo,23
1234832,ITA2,2025-01-12,Cosenza,Mantova,10137,Cosenza,23,1693,Mantova,23
1234836,ITA2,2025-01-12,Reggiana,Bari,880,Reggiana,23,508,Bari,22
1234839,ITA2,2025-01-12,Sudtirol,Catanzaro,1578,Sudtirol,22,1687,Catanzaro,23
1234838,ITA2,2025-01-12,Spezia,Juve Stabia,515,Spezia,23,863,Juve Stabia,23
1234833,ITA2,2025-01-12,Frosinone,Cremonese,512,Frosinone,23,520,Cremonese,23
1234834,ITA2,2025-01-12,Palermo,Modena,522,Palermo,22,899,Modena,24
1234830,ITA2,2025-01-12,Brescia,Sampdoria,518,Brescia,20,498,Sampdoria,22
1234835,ITA2,2025-01-13,Pisa,Carrarese,801,Pisa,23,1581,Carrarese,23
1234848,ITA2,2025-01-17,Sampdoria,Cesena,498,Sampdoria,23,509,Cesena,23
1234845,ITA2,2025-01-18,Modena,Frosinone,899,Modena,23,512,Frosinone,23
1234843,ITA2,2025-01-18,Cittadella,Mantova,510,Cittadella,23,1693,Mantova,23
1234847,ITA2,2025-01-18,Salernitana,Reggiana,514,Salernitana,23,880,Reggiana,23
1234844,ITA2,2025-01-18,Cremonese,Cosenza,520,Cremonese,22,10137,Cosenza,23
1234840,ITA2,2025-01-18,Bari,Brescia,508,Bari,20,518,Brescia,18
1234842,ITA2,2025-01-19,Catanzaro,Pisa,1687,Catanzaro,23,801,Pisa,23
1234846,ITA2,2025-01-19,Palermo,Juve Stabia,522,Palermo,23,863,Juve Stabia,23
1234849,ITA2,2025-01-19,Sassuolo,Sudtirol,488,Sassuolo,23,1578,Sudtirol,21
1234841,ITA2,2025-01-19,Carrarese,Spezia,1581,Carrarese,22,515,Spezia,22
1234859,ITA2,2025-01-24,Spezia,Sassuolo,515,Spezia,23,488,Sassuolo,23
1234851,ITA2,2025-01-25,Cesena,Bari,509,Cesena,21,508,Bari,21
1234856,ITA2,2025-01-25,Mantova,Sampdoria,1693,Mantova,23,498,Sampdoria,23
