fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1213459,NED1,2024-08-24,NEC Nijmegen,PEC Zwolle,413,NEC Nijmegen,19,193,PEC Zwolle,21
1213460,NED1,2024-08-24,Almere City FC,PSV Eindhoven,419,Almere City FC,20,197,PSV Eindhoven,21
1213461,NED1,2024-08-24,NAC Breda,Utrecht,203,NAC Breda,22,207,Utrecht,22
1213466,NED1,2024-08-25,Sparta Rotterdam,Feyenoord,426,Sparta Rotterdam,23,209,Feyenoord,23
1213467,NED1,2024-08-25,GO Ahead Eagles,Waalwijk,410,GO Ahead Eagles,23,417,Waalwijk,20
1213464,NED1,2024-08-25,Groningen,AZ Alkmaar,202,Groningen,21,201,AZ Alkmaar,22
1213465,NED1,2024-08-25,Heracles,Willem II,206,Heracles,23,195,Willem II,22
1213468,NED1,2024-08-30,Waalwijk,AZ Alkmaar,417,Waalwijk,20,201,AZ Alkmaar,20
1213472,NED1,2024-08-31,Willem II,Sparta Rotterdam,195,Willem II,23,426,Sparta Rotterdam,23
1213471,NED1,2024-08-31,Heerenveen,NAC Breda,210,Heerenveen,22,203,NAC Breda,22
1213469,NED1,2024-08-31,Almere City FC,Groningen,419,Almere City FC,22,202,Groningen,21
1213470,NED1,2024-08-31,Fortuna Sittard,NEC Nijmegen,205,Fortuna Sittard,20,413,NEC Nijmegen,20
1213473,NED1,2024-09-01,Utrecht,Twente,207,Utrecht,23,415,Twente,23
1213475,NED1,2024-09-01,PEC Zwolle,Heracles,193,PEC Zwolle,22,206,Heracles,23
1213476,NED1,2024-09-01,PSV Eindhoven,GO Ahead Eagles,197,PSV Eindhoven,20,410,GO Ahead Eagles,21
1213481,NED1,2024-09-14,PSV Eindhoven,NEC Nijmegen,197,PSV Eindhoven,19,413,NEC Nijmegen,20
1213480,NED1,2024-09-14,AZ Alkmaar,Heerenveen,201,AZ Alkmaar,22,210,Heerenveen,22
1213479,NED1,2024-09-14,NAC Breda,Fortuna Sittard,203,NAC Breda,23,205,Fortuna Sittard,19
1213478,NED1,2024-09-14,Groningen,Feyenoord,202,Groningen,21,209,Feyenoord,22
1213477,NED1,2024-09-14,Twente,PEC Zwolle,415,Twente,23,193,PEC Zwolle,23
1213485,NED1,2024-09-15,Heracles,Almere City FC,206,Heracles,20,419,Almere City FC,23
1213484,NED1,2024-09-15,Willem II,Waalwijk,195,Willem II,23,417,Waalwijk,22
1213482,NED1,2024-09-15,Sparta Rotterdam,GO Ahead Eagles,426,Sparta Rotterdam,23,410,GO Ahead Eagles,22
1213462,NED1,2024-09-17,Twente,Heerenveen,415,Twente,23,210,Heerenveen,23
