fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1231745,POR1,2024-08-19,Estrela,Famalicao,15130,Estrela,20,242,Famalicao,20
1231749,POR1,2024-08-23,Farense,Sporting CP,231,Farense,20,228,Sporting CP,20
1231750,POR1,2024-08-24,Casa Pia,Santa Clara,4716,Casa Pia,20,227,Santa Clara,20
1231751,POR1,2024-08-24,FC Porto,Rio Ave,212,FC Porto,20,226,Rio Ave,20
1231754,POR1,2024-08-24,Benfica,Estrela,211,Benfica,20,15130,Estrela,20
1231748,POR1,2024-08-24,Famalicao,Boavista,242,Famalicao,20,222,Boavista,20
1231747,POR1,2024-08-25,AVS,Guimaraes,21595,AVS,19,224,Guimaraes,20
1231753,POR1,2024-08-25,SC Braga,Moreirense,217,SC Braga,20,215,Moreirense,20
1231755,POR1,2024-08-25,Arouca,Nacional,240,Arouca,20,225,Nacional,20
1231752,POR1,2024-08-25,Estoril,GIL Vicente,230,Estoril,20,762,GIL Vicente,20
1231762,POR1,2024-08-30,Moreirense,Benfica,215,Moreirense,20,211,Benfica,20
1231759,POR1,2024-08-31,Santa Clara,AVS,227,Santa Clara,20,21595,AVS,20
1231756,POR1,2024-08-31,Estrela,Casa Pia,15130,Estrela,20,4716,Casa Pia,20
1231763,POR1,2024-08-31,Boavista,Estoril,222,Boavista,20,230,Estoril,20
1231764,POR1,2024-08-31,Sporting CP,FC Porto,228,Sporting CP,20,212,FC Porto,20
1231761,POR1,2024-09-01,GIL Vicente,SC Braga,762,GIL Vicente,20,217,SC Braga,20
1231758,POR1,2024-09-01,Guimaraes,Famalicao,224,Guimaraes,20,242,Famalicao,20
1231760,POR1,2024-09-01,Rio Ave,Arouca,226,Rio Ave,20,240,Arouca,20
1231757,POR1,2024-09-01,Nacional,Farense,225,Nacional,20,231,Farense,20
1231771,POR1,2024-09-13,Arouca,Sporting CP,240,Arouca,20,228,Sporting CP,20
1231772,POR1,2024-09-14,Benfica,Santa Clara,211,Benfica,20,227,Santa Clara,20
1231768,POR1,2024-09-14,Famalicao,GIL Vicente,242,Famalicao,20,762,GIL Vicente,20
1231765,POR1,2024-09-14,AVS,Rio Ave,21595,AVS,20,226,Rio Ave,20
1231773,POR1,2024-09-14,Casa Pia,Moreirense,4716,Casa Pia,20,215,Moreirense,20
1231767,POR1,2024-09-15,FC Porto,Farense,212,FC Porto,20,231,Farense,20
1231770,POR1,2024-09-15,Estoril,Nacional,230,Estoril,20,225,Nacional,20
1231769,POR1,2024-09-15,SC Braga,Guimaraes,217,SC Braga,20,224,Guimaraes,20
1231766,POR1,2024-09-16,Estrela,Boavista,15130,Estrela,20,222,Boavista,20
1231779,POR1,2024-09-20,Nacional,SC Braga,225,Nacional,20,217,SC Braga,20
1231781,POR1,2024-09-21,Guimaraes,FC Porto,224,Guimaraes,20,212,FC Porto,20
1231776,POR1,2024-09-21,Moreirense,Famalicao,215,Moreirense,20,242,Famalicao,20
1231775,POR1,2024-09-21,Rio Ave,Estoril,226,Rio Ave,20,230,Estoril,20
1231780,POR1,2024-09-21,Santa Clara,Estrela,227,Santa Clara,21,15130,Estrela,20
1231774,POR1,2024-09-22,GIL Vicente,Casa Pia,762,GIL Vicente,20,4716,Casa Pia,20
1231778,POR1,2024-09-22,Farense,Arouca,231,Farense,20,240,Arouca,20
1231777,POR1,2024-09-22,Sporting CP,AVS,228,Sporting CP,20,21595,AVS,20
1231782,POR1,2024-09-23,Boavista,Benfica,222,Boavista,20,211,Benfica,20
1231788,POR1,2024-09-27,Estoril,Sporting CP,230,Estoril,20,228,Sporting CP,20
1231787,POR1,2024-09-28,Estrela,Moreirense,15130,Estrela,20,215,Moreirense,20
1231791,POR1,2024-09-28,Casa Pia,Guimaraes,4716,Casa Pia,20,224,Guimaraes,20
1231790,POR1,2024-09-28,Benfica,GIL Vicente,211,Benfica,20,762,GIL Vicente,20
1231786,POR1,2024-09-29,Santa Clara,Boavista,227,Santa Clara,20,222,Boavista,20
1231789,POR1,2024-09-29,SC Braga,Rio Ave,217,SC Braga,20,226,Rio Ave,20
1231783,POR1,2024-09-29,Famalicao,Nacional,242,Famalicao,20,225,Nacional,20
1231785,POR1,2024-09-29,FC Porto,Arouca,212,FC Porto,20,240,Arouca,20
1231784,POR1,2024-09-30,AVS,Farense,21595,AVS,20,231,Farense,20
1231794,POR1,2024-10-04,Rio Ave,Famalicao,226,Rio Ave,20,242,Famalicao,20
1231796,POR1,2024-10-05,Sporting CP,Casa Pia,228,Sporting CP,20,4716,Casa Pia,20
1231799,POR1,2024-10-05,Arouca,AVS,240,Arouca,20,21595,AVS,20
1231795,POR1,2024-10-05,Moreirense,Santa Clara,215,Moreirense,19,227,Santa Clara,19
1231793,POR1,2024-10-05,GIL Vicente,Estrela,762,GIL Vicente,20,15130,Estrela,20
1231797,POR1,2024-10-06,Guimaraes,Boavista,224,Guimaraes,20,222,Boavista,20
1231800,POR1,2024-10-06,FC Porto,SC Braga,212,FC Porto,20,217,SC Braga,20
1231792,POR1,2024-10-06,Farense,Estoril,231,Farense,20,230,Estoril,20
1231802,POR1,2024-10-25,Santa Clara,GIL Vicente,227,Santa Clara,20,762,GIL Vicente,20
1231809,POR1,2024-10-25,Casa Pia,Nacional,4716,Casa Pia,20,225,Nacional,20
1231804,POR1,2024-10-26,Famalicao,Sporting CP,242,Famalicao,20,228,Sporting CP,20
1231807,POR1,2024-10-26,Boavista,Moreirense,222,Boavista,20,215,Moreirense,20
1231803,POR1,2024-10-26,Estoril,Arouca,230,Estoril,20,240,Arouca,20
1231806,POR1,2024-10-27,Estrela,Guimaraes,15130,Estrela,20,224,Guimaraes,20
1231805,POR1,2024-10-27,SC Braga,Farense,217,SC Braga,20,231,Farense,20
1231808,POR1,2024-10-27,Benfica,Rio Ave,211,Benfica,20,226,Rio Ave,20
1231801,POR1,2024-10-28,AVS,FC Porto,21595,AVS,20,212,FC Porto,20
1231812,POR1,2024-11-01,Sporting CP,Estrela,228,Sporting CP,20,15130,Estrela,20
1231810,POR1,2024-11-02,Rio Ave,Casa Pia,226,Rio Ave,20,4716,Casa Pia,20
1231815,POR1,2024-11-02,Farense,Benfica,231,Farense,20,211,Benfica,20
1231814,POR1,2024-11-02,GIL Vicente,Boavista,762,GIL Vicente,20,222,Boavista,20
1231811,POR1,2024-11-03,FC Porto,Estoril,212,FC Porto,20,230,Estoril,20
1231817,POR1,2024-11-03,Arouca,SC Braga,240,Arouca,20,217,SC Braga,20
1231818,POR1,2024-11-03,AVS,Famalicao,21595,AVS,20,242,Famalicao,20
1231816,POR1,2024-11-03,Guimaraes,Moreirense,224,Guimaraes,20,215,Moreirense,20
1231813,POR1,2024-11-04,Nacional,Santa Clara,225,Nacional,20,227,Santa Clara,20
1231821,POR1,2024-11-08,Moreirense,GIL Vicente,215,Moreirense,20,762,GIL Vicente,20
