fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1252419,SAU1,2024-08-22,Al Taawon,Al-Fayha,2936,Al Taawon,20,2944,Al-Fayha,17
1252420,SAU1,2024-08-22,Al Wehda Club,Al Riyadh,2937,Al Wehda Club,18,10511,Al Riyadh,20
1252421,SAU1,2024-08-22,Al-Nassr,Al-Raed,2939,Al-Nassr,20,2935,Al-Raed,19
1252422,SAU1,2024-08-23,Damac,Al Khaleej Saihat,2956,Damac,18,2928,Al Khaleej Saihat,20
1252423,SAU1,2024-08-23,Al-Ahli Jeddah,Al Orubah,2929,Al-Ahli Jeddah,20,2961,Al Orubah,20
1252424,SAU1,2024-08-23,Al-Qadisiyah FC,Al-Fateh,2933,Al-Qadisiyah FC,20,2931,Al-Fateh,19
1252425,SAU1,2024-08-24,Al Kholood,Al-Ittihad FC,10509,Al Kholood,19,2938,Al-Ittihad FC,20
1252426,SAU1,2024-08-24,Al Akhdoud,Al-Hilal Saudi FC,2977,Al Akhdoud,18,2932,Al-Hilal Saudi FC,20
1252427,SAU1,2024-08-24,Al Shabab,Al-Ettifaq,2940,Al Shabab,17,2934,Al-Ettifaq,20
1252429,SAU1,2024-08-27,Al-Raed,Al-Qadisiyah FC,2935,Al-Raed,19,2933,Al-Qadisiyah FC,20
1252430,SAU1,2024-08-27,Al-Fayha,Al-Nassr,2944,Al-Fayha,19,2939,Al-Nassr,20
1252428,SAU1,2024-08-27,Al-Fateh,Al-Ahli Jeddah,2931,Al-Fateh,20,2929,Al-Ahli Jeddah,20
1252431,SAU1,2024-08-28,Al-Ettifaq,Al Akhdoud,2934,Al-Ettifaq,20,2977,Al Akhdoud,19
1252432,SAU1,2024-08-28,Al-Hilal Saudi FC,Damac,2932,Al-Hilal Saudi FC,20,2956,Damac,19
1252433,SAU1,2024-08-28,Al Wehda Club,Al Orubah,2937,Al Wehda Club,19,2961,Al Orubah,20
1252435,SAU1,2024-08-29,Al Khaleej Saihat,Al Shabab,2928,Al Khaleej Saihat,20,2940,Al Shabab,19
1252436,SAU1,2024-08-29,Al-Ittihad FC,Al Taawon,2938,Al-Ittihad FC,20,2936,Al Taawon,20
1252434,SAU1,2024-08-29,Al Riyadh,Al Kholood,10511,Al Riyadh,20,10509,Al Kholood,20
1252437,SAU1,2024-09-13,Al Taawon,Al Khaleej Saihat,2936,Al Taawon,20,2928,Al Khaleej Saihat,20
1252440,SAU1,2024-09-13,Damac,Al Akhdoud,2956,Damac,20,2977,Al Akhdoud,20
1252438,SAU1,2024-09-13,Al-Nassr,Al-Ahli Jeddah,2939,Al-Nassr,19,2929,Al-Ahli Jeddah,20
1252441,SAU1,2024-09-14,Al-Fateh,Al-Ettifaq,2931,Al-Fateh,20,2934,Al-Ettifaq,20
1252444,SAU1,2024-09-14,Al-Fayha,Al-Raed,2944,Al-Fayha,20,2935,Al-Raed,20
1252439,SAU1,2024-09-14,Al Riyadh,Al-Hilal Saudi FC,10511,Al Riyadh,20,2932,Al-Hilal Saudi FC,20
