fixture_id,league_code,match_date,home_team,away_team,team_1_id,team_1_name,team_1_players_count,team_2_id,team_2_name,team_2_players_count
1237864,TUR1,2024-08-19,Hatayspor,Kasimpasa,3575,Hatayspor,21,1004,Kasimpasa,21
1237861,TUR1,2024-08-19,Eyüpspor,BB Bodrumspor,3588,Eyüpspor,21,3583,BB Bodrumspor,21
1237869,TUR1,2024-08-23,Alanyaspor,Goztepe,996,Alanyaspor,21,994,Goztepe,21
1237870,TUR1,2024-08-24,Sivasspor,Eyüpspor,1002,Sivasspor,21,3588,Eyüpspor,21
1237875,TUR1,2024-08-24,BB Bodrumspor,Konyaspor,3583,BB Bodrumspor,21,607,Konyaspor,21
1237867,TUR1,2024-08-25,Antalyaspor,Hatayspor,1005,Antalyaspor,20,3575,Hatayspor,21
1237874,TUR1,2024-08-25,Rizespor,Fenerbahce,1007,Rizespor,21,611,Fenerbahce,21
1237868,TUR1,2024-08-25,Kasimpasa,Adana Demirspor,1004,Kasimpasa,21,3563,Adana Demirspor,21
1237884,TUR1,2024-08-30,Fenerbahce,Alanyaspor,611,Fenerbahce,21,996,Alanyaspor,21
1237880,TUR1,2024-08-31,Adana Demirspor,Galatasaray,3563,Adana Demirspor,21,645,Galatasaray,21
1237876,TUR1,2024-08-31,Goztepe,BB Bodrumspor,994,Goztepe,21,3583,BB Bodrumspor,21
1237881,TUR1,2024-08-31,Konyaspor,Kayserispor,607,Konyaspor,21,1001,Kayserispor,21
1237878,TUR1,2024-08-31,Rizespor,Kasimpasa,1007,Rizespor,21,1004,Kasimpasa,21
1237883,TUR1,2024-09-01,Besiktas,Sivasspor,549,Besiktas,21,1002,Sivasspor,21
1237877,TUR1,2024-09-01,Istanbul Basaksehir,Antalyaspor,564,Istanbul Basaksehir,21,1005,Antalyaspor,21
1237879,TUR1,2024-09-01,Eyüpspor,Trabzonspor,3588,Eyüpspor,21,998,Trabzonspor,21
1237882,TUR1,2024-09-01,Hatayspor,Samsunspor,3575,Hatayspor,20,3603,Samsunspor,21
1237892,TUR1,2024-09-14,Galatasaray,Rizespor,645,Galatasaray,21,1007,Rizespor,21
1237893,TUR1,2024-09-14,BB Bodrumspor,Istanbul Basaksehir,3583,BB Bodrumspor,21,564,Istanbul Basaksehir,21
1237885,TUR1,2024-09-14,Sivasspor,Gazişehir Gaziantep,1002,Sivasspor,21,3573,Gazişehir Gaziantep,21
1237890,TUR1,2024-09-14,Samsunspor,Konyaspor,3603,Samsunspor,21,607,Konyaspor,21
1237891,TUR1,2024-09-15,Trabzonspor,Besiktas,998,Trabzonspor,21,549,Besiktas,21
1237886,TUR1,2024-09-15,Alanyaspor,Hatayspor,996,Alanyaspor,21,3575,Hatayspor,21
1237887,TUR1,2024-09-15,Kasimpasa,Fenerbahce,1004,Kasimpasa,20,611,Fenerbahce,21
1237889,TUR1,2024-09-15,Kayserispor,Eyüpspor,1001,Kayserispor,21,3588,Eyüpspor,21
