fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1213235,BEL1,2024-08-24,8440,Sinan Bolat,261,KVC Westerlo,90.0,G,1,7.5,False,False,,1,0.0,5.0,,,34.0,,29,,,,,,,,,,,0,0,,,0,0,0.0,
1213235,BEL1,2024-08-24,51144,Bryan Reynolds,261,KVC Westerlo,90.0,D,22,7.2,False,False,,0,0.0,,,,60.0,,48,4.0,,,8.0,6.0,2.0,1.0,,,1.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,387521,Luka Vušković,261,KVC Westerlo,90.0,D,44,7.2,False,False,,0,0.0,,1.0,1.0,69.0,1.0,58,,,,6.0,5.0,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,1348,Roman Neustädter,261,KVC Westerlo,90.0,D,33,6.9,True,False,,0,0.0,,,,72.0,1.0,69,,,,3.0,1.0,,,,1.0,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,162159,Tuur Rommens,261,KVC Westerlo,90.0,D,25,6.5,False,False,,0,0.0,,,,42.0,1.0,32,,,1.0,10.0,3.0,4.0,2.0,,1.0,2.0,1,0,,,0,0,,
1213235,BEL1,2024-08-24,371950,Arthur Piedfort,261,KVC Westerlo,90.0,M,46,7,False,False,,0,0.0,,,,19.0,2.0,15,3.0,,1.0,11.0,6.0,1.0,,2.0,3.0,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,37887,Doğucan Haspolat,261,KVC Westerlo,90.0,M,34,6.7,False,False,,0,0.0,,,,46.0,1.0,38,3.0,,2.0,11.0,4.0,,,3.0,,3.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,162418,Adedire Mebude,261,KVC Westerlo,90.0,M,47,7.3,False,False,1.0,0,0.0,,1.0,1.0,31.0,1.0,25,,,2.0,10.0,4.0,3.0,2.0,1.0,2.0,2.0,1,0,,,0,0,,
1213235,BEL1,2024-08-24,323942,Josimar Alcócer,261,KVC Westerlo,80.0,M,77,7.2,False,False,,0,0.0,,2.0,1.0,17.0,,14,2.0,,1.0,7.0,4.0,2.0,1.0,,1.0,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,29784,Allahyar Sayyadmanesh,261,KVC Westerlo,63.0,M,7,6.9,False,False,,0,0.0,,3.0,,21.0,2.0,14,,,,10.0,5.0,2.0,2.0,,1.0,3.0,1,0,,,0,0,,1.0
1213235,BEL1,2024-08-24,322560,Lucas Stassin,261,KVC Westerlo,90.0,F,76,7.3,False,False,,0,1.0,,,,20.0,3.0,15,1.0,,,9.0,6.0,2.0,2.0,,2.0,1.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,50774,Griffin Yow,261,KVC Westerlo,27.0,F,18,6.6,False,True,,0,0.0,,1.0,,3.0,,3,,,,2.0,2.0,,,,2.0,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,292543,Matija Frigan,261,KVC Westerlo,10.0,F,9,6.2,False,True,,0,0.0,,1.0,,1.0,,,,1.0,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,8974,Koen Van Langendonck,261,KVC Westerlo,,G,30,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,1666,Edisson Jordanov,261,KVC Westerlo,,D,32,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,292363,Emir Ortakaya,261,KVC Westerlo,,D,2,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,1931,Rubin Seigers,261,KVC Westerlo,,D,23,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,8969,Mathias Fixelles,261,KVC Westerlo,,M,4,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,354875,Raf Smekens,261,KVC Westerlo,,M,17,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,1360,Muhammed Gümüşkaya,261,KVC Westerlo,,M,11,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,158425,Tobe Leysen,260,OH Leuven,90.0,G,1,6.9,False,False,,1,0.0,2.0,,,35.0,,26,,,,,,,,,,,0,0,,,0,0,0.0,
1213235,BEL1,2024-08-24,46968,Óscar Gil,260,OH Leuven,85.0,D,27,7.2,False,False,,0,0.0,,,,27.0,2.0,23,3.0,,1.0,9.0,6.0,2.0,1.0,1.0,2.0,1.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,8612,Ewoud Pletinckx,260,OH Leuven,45.0,D,28,6.5,False,False,,0,0.0,,,,26.0,,20,1.0,2.0,,5.0,1.0,,,1.0,,1.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,46820,Federico Ricca,260,OH Leuven,90.0,D,14,6.6,False,False,,0,0.0,,,,43.0,,34,1.0,1.0,1.0,5.0,2.0,,,1.0,,2.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,199903,Takahiro Akimoto,260,OH Leuven,90.0,D,30,6.6,False,False,,0,0.0,,1.0,,26.0,,20,1.0,,,7.0,3.0,,,2.0,1.0,1.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,343286,Ezechiel Banzuzi,260,OH Leuven,90.0,M,6,7.2,False,False,,0,1.0,,,,29.0,2.0,22,,,2.0,6.0,2.0,,,,,2.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,8487,Birger Verstraete,260,OH Leuven,90.0,M,4,6.9,False,False,,0,0.0,,2.0,1.0,34.0,,30,4.0,,1.0,10.0,4.0,,,2.0,,3.0,1,0,,,0,0,,
1213235,BEL1,2024-08-24,2108,William Balikwisha,260,OH Leuven,67.0,M,21,7.3,False,False,1.0,0,0.0,,1.0,1.0,15.0,,10,,,,5.0,2.0,2.0,2.0,,,1.0,0,0,,,0,0,,
1213235,BEL1,2024-08-24,23975,Youssef Maziz,260,OH Leuven,85.0,M,10,7.2,False,False,,0,0.0,,2.0,1.0,30.0,1.0,24,2.0,,1.0,10.0,6.0,3.0,2.0,,2.0,2.0,1,0,,,0,0,,
1213235,BEL1,2024-08-24,8643,Konan N'Dri,260,OH Leuven,90.0,F,15,7,False,False,,0,0.0,,3.0,1.0,19.0,1.0,13,3.0,,,15.0,7.0,2.0,1.0,2.0,2.0,1.0,0,0,,,0,0,,1.0
1213235,BEL1,2024-08-24,8787,Mathieu Maertens,260,OH Leuven,66.0,F,33,7.2,True,False,,0,0.0,,2.0,2.0,15.0,2.0,12,,1.0,1.0,8.0,4.0,1.0,,,3.0,,0,0,,,0,0,,1.0
1213235,BEL1,2024-08-24,33268,Takuma Ominami,260,OH Leuven,45.0,D,5,6.7,False,True,,0,0.0,,,,29.0,,25,,,,2.0,1.0,,,1.0,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,88,Siebe Schrijvers,260,OH Leuven,24.0,M,8,6.9,False,True,,0,0.0,,1.0,,8.0,1.0,7,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,335816,Chukwubuikem Ikwuemesi,260,OH Leuven,23.0,F,19,6.3,False,True,,0,0.0,,,,1.0,,1,,,,3.0,1.0,,,,1.0,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,73,Thibault Vlietinck,260,OH Leuven,8.0,D,77,6.3,False,True,,0,0.0,,,,3.0,,2,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,402,Hamza Mendyl,260,OH Leuven,8.0,D,20,6.6,False,True,,0,0.0,,,,2.0,,,1.0,,,2.0,2.0,,,,1.0,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,287567,Owen Jochmans,260,OH Leuven,,G,61,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,138874,Antef Tsoungui,260,OH Leuven,,D,3,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,48927,Suphanat Mueanta,260,OH Leuven,,F,17,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213235,BEL1,2024-08-24,83824,Mickaël Biron,260,OH Leuven,,F,22,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,162511,Senne Lammens,740,Antwerp,90.0,G,91,7.2,False,False,,1,0.0,3.0,,,26.0,,19,,,,1.0,1.0,,,,,,0,0,,,0,0,0.0,
1213236,BEL1,2024-08-24,8701,Jelle Bataille,740,Antwerp,63.0,D,25,7.2,False,False,,0,0.0,,,,52.0,,41,3.0,1.0,,6.0,5.0,1.0,1.0,,1.0,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,162,Toby Alderweireld,740,Antwerp,90.0,D,23,7.3,True,False,,0,0.0,,2.0,1.0,75.0,,67,,1.0,1.0,5.0,4.0,,,,2.0,,1,0,,,0,0,,
1213236,BEL1,2024-08-24,303679,Zeno Van Den Bosch,740,Antwerp,90.0,D,33,6.9,False,False,,0,0.0,,,,91.0,,87,,,1.0,4.0,1.0,,,,,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,288750,Ayrton Costa,740,Antwerp,87.0,D,5,7.2,False,False,,0,0.0,,1.0,,43.0,1.0,35,3.0,1.0,2.0,10.0,6.0,,,1.0,1.0,2.0,1,0,,,0,0,,
1213236,BEL1,2024-08-24,308836,Mandela Keita,740,Antwerp,90.0,M,27,7,False,False,,0,0.0,,,,64.0,1.0,60,2.0,1.0,1.0,6.0,3.0,1.0,,1.0,,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,384473,Mahamadou Doumbia,740,Antwerp,63.0,M,20,6.9,False,False,,0,0.0,,,,43.0,1.0,40,,1.0,,6.0,3.0,1.0,1.0,1.0,2.0,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,37188,Gyrano Kerk,740,Antwerp,90.0,M,7,6.9,False,False,,0,0.0,,,,24.0,1.0,16,,,1.0,9.0,4.0,2.0,1.0,,1.0,1.0,0,0,,,0,0,,1.0
1213236,BEL1,2024-08-24,50120,Tjaronn Chery,740,Antwerp,77.0,M,9,7,False,False,,0,0.0,,3.0,,44.0,2.0,36,,,,3.0,1.0,2.0,1.0,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,191979,Jacob Ondrejka,740,Antwerp,90.0,M,11,7.6,False,False,,0,0.0,,4.0,,29.0,4.0,21,1.0,,,4.0,4.0,,,,3.0,,0,0,,,0,0,,2.0
1213236,BEL1,2024-08-24,183,Vincent Janssen,740,Antwerp,90.0,F,18,7.5,False,False,,0,0.0,,3.0,2.0,24.0,3.0,22,,,,5.0,2.0,1.0,1.0,,,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,381841,Kobe Corbanie,740,Antwerp,27.0,D,2,6.6,False,True,,0,0.0,,,,23.0,,22,,,,1.0,,1.0,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,18853,Jaïro Riedewald,740,Antwerp,27.0,M,4,6.6,False,True,,0,0.0,,3.0,1.0,25.0,,22,1.0,,,3.0,3.0,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,198347,Anthony Valencia,740,Antwerp,13.0,F,14,6.9,False,True,,0,0.0,,,,12.0,,11,1.0,,,6.0,4.0,3.0,2.0,,1.0,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,427912,Victor Udoh,740,Antwerp,11.0,F,19,6.9,False,True,,0,0.0,,,,3.0,1.0,2,,,,1.0,,,,,,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,8574,Jean Butez,740,Antwerp,,G,1,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,342310,Rosen Bozhinov,740,Antwerp,,D,26,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,161989,Christopher Scott,740,Antwerp,,M,30,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,395873,Milan Smits,740,Antwerp,,M,46,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,396224,Gerard Vandeplas,740,Antwerp,,M,79,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,8741,Ortwin De Wolf,266,KV Mechelen,90.0,G,1,7.7,False,False,,0,0.0,4.0,,,38.0,,22,,,,,,,,,,,0,0,,,0,0,0.0,
1213236,BEL1,2024-08-24,8934,Jules Van Cleemput,266,KV Mechelen,18.0,D,2,6.9,False,False,,0,0.0,,,,5.0,,4,,,1.0,,,,,,,,0,0,,,0,0,,
1213236,BEL1,2024-08-24,153287,Toon Raemaekers,266,KV Mechelen,90.0,D,4,7,False,False,,0,0.0,,,,46.0,,38,,,2.0,10.0,4.0,3.0,2.0,1.0,,3.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,162562,José Marsà,266,KV Mechelen,90.0,D,3,7.2,False,False,,0,0.0,,,,45.0,,35,2.0,1.0,,4.0,3.0,,,,,1.0,0,0,,,0,0,,
1213236,BEL1,2024-08-24,26497,Patrick Pflücke,266,KV Mechelen,90.0,M,77,7.5,False,False,,0,1.0,,1.0,1.0,31.0,1.0,28,,,,3.0,,,,2.0,,,0,0,,,0,0,,
