fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1213756,FRA1,2024-08-23,1622,Gianluigi Donnarumma,85,Paris Saint Germain,90.0,G,1,7.3,False,False,,0,0.0,3.0,,,28.0,,23,,,,,,,,,,,0,0,,,0,0,0.0,
1213756,FRA1,2024-08-23,9,Achraf Hakimi,85,Paris Saint Germain,90.0,D,2,9.3,False,False,1.0,0,1.0,,3.0,1.0,87.0,4.0,78,3.0,,,9.0,6.0,3.0,1.0,,2.0,,0,0,,,0,0,,
1213756,FRA1,2024-08-23,257,Marquinhos,85,Paris Saint Germain,90.0,D,5,7.3,True,False,,0,0.0,,1.0,,79.0,,76,3.0,,,8.0,5.0,,,,,1.0,0,0,,,0,0,,
1213756,FRA1,2024-08-23,16367,Willian Pacho,85,Paris Saint Germain,90.0,D,51,7.3,False,False,,0,0.0,,,,71.0,,67,2.0,1.0,6.0,8.0,5.0,,,,1.0,2.0,0,0,,,0,0,,
1213756,FRA1,2024-08-23,263482,Nuno Mendes,85,Paris Saint Germain,90.0,D,25,7.9,False,False,,0,1.0,,,,79.0,2.0,75,1.0,1.0,,5.0,4.0,1.0,1.0,,2.0,,0,0,,,0,0,,
1213756,FRA1,2024-08-23,336657,Warren Zaïre-Emery,85,Paris Saint Germain,78.0,M,33,7.9,False,False,1.0,0,0.0,,2.0,2.0,57.0,1.0,55,4.0,,,13.0,5.0,3.0,1.0,2.0,,3.0,0,0,,,0,0,,
1213756,FRA1,2024-08-23,335051,João Neves,85,Paris Saint Germain,68.0,M,87,8.5,False,False,,0,2.0,,2.0,,42.0,4.0,39,1.0,,1.0,4.0,3.0,,,,2.0,1.0,0,0,,,0,0,,
1213756,FRA1,2024-08-23,128384,Vitinha,85,Paris Saint Germain,90.0,M,17,7.3,False,False,,0,0.0,,,,105.0,,101,3.0,,,4.0,4.0,,,,1.0,,0,0,,,0,0,,
1213756,FRA1,2024-08-23,153,Ousmane Dembélé,85,Paris Saint Germain,62.0,F,10,8.2,False,False,,0,2.0,,1.0,,34.0,3.0,32,,,3.0,13.0,6.0,9.0,3.0,,3.0,1.0,1,0,,,0,0,,
1213756,FRA1,2024-08-23,746,Marco Asensio,85,Paris Saint Germain,62.0,F,11,7.6,False,False,1.0,0,0.0,,1.0,1.0,39.0,2.0,37,1.0,,,2.0,1.0,,,,,,0,0,,,0,0,,
