fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1226186,GER2,2024-08-23,26293,Ron-Robert Zieler,166,Hannover 96,90.0,G,1,6.9,True,False,,0,0.0,1.0,,,41.0,,31,,,,,,,,,,,0,0,,,0,0,0.0,
1226186,GER2,2024-08-23,2593,Sei Muroya,166,Hannover 96,90.0,D,21,7.3,False,False,,0,0.0,,,,39.0,,34,1.0,,3.0,10.0,5.0,2.0,1.0,,2.0,1.0,0,0,,,0,0,,
1226186,GER2,2024-08-23,25206,Phil Neumann,166,Hannover 96,90.0,D,5,7.2,False,False,,0,0.0,,,,61.0,1.0,53,,,1.0,13.0,6.0,1.0,,1.0,2.0,1.0,0,0,,,0,0,,
1226186,GER2,2024-08-23,1143,Marcel Halstenberg,166,Hannover 96,76.0,D,23,6.6,False,False,,0,0.0,,,,56.0,,48,,,4.0,6.0,,,,1.0,,4.0,0,0,,,0,0,,
1226186,GER2,2024-08-23,24954,Jannik Dehm,166,Hannover 96,90.0,D,20,7.2,False,False,,0,0.0,,1.0,,34.0,3.0,29,2.0,,,3.0,2.0,,,1.0,,,1,0,,,0,0,,
1226186,GER2,2024-08-23,355171,Hyun-ju Lee,166,Hannover 96,72.0,M,11,6.6,False,False,,0,0.0,,1.0,1.0,21.0,,18,1.0,,1.0,13.0,7.0,5.0,1.0,1.0,3.0,1.0,0,0,,,0,0,,
1226186,GER2,2024-08-23,25013,Max Christiansen,166,Hannover 96,90.0,M,13,6.9,False,False,,0,0.0,,,,42.0,1.0,36,2.0,,1.0,11.0,4.0,2.0,1.0,,1.0,2.0,0,0,,,0,0,,
1226186,GER2,2024-08-23,178250,Enzo Leopold,166,Hannover 96,90.0,M,8,7,False,False,,0,0.0,,,,52.0,,49,1.0,,2.0,10.0,5.0,1.0,,,3.0,3.0,0,0,,,0,0,,
1226186,GER2,2024-08-23,125712,Jannik Rochelt,166,Hannover 96,89.0,M,10,6.7,False,False,,0,0.0,,,,19.0,1.0,15,1.0,,1.0,7.0,2.0,2.0,,2.0,1.0,2.0,1,0,,,0,0,,
1226186,GER2,2024-08-23,25277,Håvard Nielsen,166,Hannover 96,89.0,F,16,7.2,False,False,,0,0.0,,3.0,1.0,14.0,,12,1.0,,,14.0,6.0,1.0,,2.0,2.0,3.0,0,0,,,0,0,,
