fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1234644,ITA2,2024-08-23,31251,Riccardo Gagno,899,Modena,90.0,G,26,7.2,False,False,,1,0.0,4.0,,,35.0,,22,,,,,,,,,,,0,0,,,0,0,0.0,
1234644,ITA2,2024-08-23,1628,Mattia Caldara,899,Modena,90.0,D,23,7.3,False,False,,0,0.0,,1.0,,18.0,1.0,14,2.0,,,4.0,3.0,,,,1.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,56225,Giovanni Zaro,899,Modena,90.0,D,19,6.9,False,False,,0,0.0,,1.0,,30.0,1.0,25,1.0,,,3.0,2.0,,,,,,1,0,,,0,0,,
1234644,ITA2,2024-08-23,32097,Antonio Pergreffi,899,Modena,74.0,D,4,6.9,True,False,,0,0.0,,,,20.0,,18,,1.0,,4.0,3.0,,,,1.0,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,56309,Matteo Cotali,899,Modena,74.0,D,29,6.9,False,False,,0,0.0,,,,29.0,,25,2.0,,2.0,9.0,5.0,2.0,1.0,,2.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,31557,Simone Santoro,899,Modena,90.0,M,8,6.6,False,False,,0,0.0,,,,22.0,,19,3.0,,1.0,16.0,8.0,1.0,,1.0,4.0,2.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,32190,Fabio Gerli,899,Modena,90.0,M,16,7.5,False,False,,0,0.0,,1.0,1.0,44.0,,37,1.0,,1.0,6.0,5.0,1.0,1.0,,3.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,30804,Thomas Battistella,899,Modena,45.0,M,5,6.7,False,False,,0,0.0,,,,8.0,1.0,5,1.0,,,13.0,8.0,1.0,1.0,,4.0,2.0,1,0,,,0,0,,
1234644,ITA2,2024-08-23,31271,Antonio Palumbo,899,Modena,74.0,M,10,7.9,False,False,1.0,0,1.0,,1.0,1.0,22.0,3.0,19,,,,6.0,,2.0,,,,1.0,1,0,,,1,0,,
1234644,ITA2,2024-08-23,32201,Ettore Gliozzi,899,Modena,85.0,M,9,6.9,False,False,,0,0.0,,1.0,1.0,18.0,1.0,10,,,,9.0,5.0,1.0,,,2.0,1.0,1,0,1.0,,0,0,,
1234644,ITA2,2024-08-23,147756,Pedro Mendes,899,Modena,90.0,F,11,7.2,False,False,1.0,0,0.0,,5.0,2.0,33.0,1.0,19,,,,19.0,13.0,,,,2.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,31765,Luca Magnino,899,Modena,45.0,M,6,6.3,False,True,,0,0.0,,1.0,,10.0,2.0,7,,,,7.0,2.0,1.0,1.0,1.0,,3.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,56287,Alessandro Di Pardo,899,Modena,16.0,D,18,6.9,False,True,,0,0.0,,1.0,,2.0,,,2.0,1.0,,5.0,2.0,1.0,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,383026,Riyad Idrissi,899,Modena,16.0,M,27,6.7,False,True,,0,0.0,,,,3.0,,2,1.0,,,1.0,1.0,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,30461,Grégoire Defrel,899,Modena,16.0,F,92,6.3,False,True,,0,0.0,,,,5.0,2.0,5,,,,9.0,1.0,1.0,,2.0,1.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,37142,Eric Botteghin,899,Modena,11.0,D,31,6.7,False,True,,0,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,336646,Jacopo Sassi,899,Modena,,G,1,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,32095,Cristian Cauz,899,Modena,,D,33,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,480409,Gady Beyuku,899,Modena,,D,2,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,136062,Edoardo Duca,899,Modena,,M,7,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,296046,Lukas Mondele,899,Modena,,M,42,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,215902,Kleis Bozhanaj,899,Modena,,M,21,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,281191,Fabio Abiuso,899,Modena,,F,90,,False,True,,0,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,31601,Boris Radunović,508,Bari,90.0,G,1,6.9,False,False,,2,0.0,3.0,,,22.0,,21,,,,,,,,,,,0,0,,,0,0,0.0,
1234644,ITA2,2024-08-23,31676,Raffaele Pucino,508,Bari,90.0,D,25,6.9,False,False,,0,0.0,,1.0,1.0,51.0,,45,,,2.0,4.0,3.0,,,,1.0,,0,0,,,0,0,,
1234644,ITA2,2024-08-23,30863,Francesco Vicari,508,Bari,90.0,D,23,6.7,True,False,,0,0.0,,1.0,,64.0,1.0,59,,,,14.0,7.0,,,,,1.0,0,0,,1.0,0,0,,
1234644,ITA2,2024-08-23,336688,Nosa Edward Obaretin,508,Bari,90.0,D,55,6.9,False,False,,0,0.0,,1.0,,39.0,,36,4.0,1.0,2.0,14.0,6.0,1.0,1.0,1.0,1.0,3.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,336640,Andrea Oliveri,508,Bari,79.0,M,7,7.3,False,False,,0,0.0,,2.0,1.0,27.0,1.0,25,2.0,,,9.0,6.0,2.0,,,2.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,56796,Mattia Maita,508,Bari,70.0,M,4,6.2,False,False,,0,0.0,,,,25.0,1.0,21,1.0,,,9.0,2.0,1.0,1.0,3.0,,2.0,1,0,,,0,0,,
1234644,ITA2,2024-08-23,30990,Ahmad Benali,508,Bari,90.0,M,8,7.3,False,False,,0,0.0,,2.0,1.0,48.0,3.0,41,3.0,2.0,1.0,13.0,7.0,,,,2.0,5.0,1,0,,,0,0,,
1234644,ITA2,2024-08-23,284935,Mehdi Dorval,508,Bari,45.0,M,93,6.3,False,False,,0,0.0,,,,15.0,1.0,12,1.0,,,5.0,2.0,,,,1.0,1.0,0,0,,,0,0,,
1234644,ITA2,2024-08-23,264479,Giacomo Manzari,508,Bari,58.0,F,18,7.2,False,False,,0,0.0,,,,14.0,1.0,9,,,,11.0,6.0,,,,3.0,2.0,1,0,,,0,0,,
1234644,ITA2,2024-08-23,31996,Giuseppe Sibilli,508,Bari,90.0,F,20,6.2,False,False,,0,0.0,,1.0,,27.0,1.0,19,,,,6.0,1.0,,,,,2.0,0,0,,,0,0,,1.0
1234644,ITA2,2024-08-23,37026,Andrija Novakovich,508,Bari,58.0,F,9,6.9,False,False,1.0,0,0.0,,3.0,2.0,7.0,1.0,6,,,,5.0,1.0,1.0,,,,,0,0,,,0,0,,
