fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1231745,POR1,2024-08-19,41484,Bruno Brígido,15130,Estrela,90.0,G,30,6.2,False,False,,3,0.0,2.0,,,31.0,,21,,,,,,,,,,,0,0,,,0,0,0.0,
1231745,POR1,2024-08-19,161702,Danilo Veiga,15130,Estrela,90.0,D,77,6.2,False,False,,0,0.0,,,,30.0,1.0,22,2.0,1.0,1.0,16.0,6.0,5.0,1.0,2.0,2.0,1.0,1,0,,,0,0,,
1231745,POR1,2024-08-19,2128,Miguel Lopes,15130,Estrela,90.0,D,13,6.5,True,False,,0,0.0,,,,62.0,,52,,1.0,4.0,8.0,6.0,,,1.0,2.0,1.0,0,0,,,0,0,,
1231745,POR1,2024-08-19,566,Ferro,15130,Estrela,90.0,D,4,6.6,False,False,,0,0.0,,,,62.0,,57,1.0,1.0,1.0,5.0,3.0,,,1.0,1.0,,0,0,,,0,0,,
1231745,POR1,2024-08-19,152933,Nilton Varela,15130,Estrela,83.0,D,25,6.7,False,False,,0,0.0,,,,29.0,,21,3.0,,1.0,12.0,8.0,6.0,2.0,,3.0,,0,0,,,0,0,,
1231745,POR1,2024-08-19,325717,André Luiz,15130,Estrela,77.0,M,7,6.9,False,False,,0,0.0,,2.0,1.0,20.0,1.0,16,5.0,,,16.0,7.0,4.0,1.0,3.0,1.0,,0,0,,,0,0,,
1231745,POR1,2024-08-19,387185,Manuel Keliano,15130,Estrela,45.0,M,42,6.7,False,False,,0,0.0,,1.0,,10.0,,9,2.0,,2.0,8.0,3.0,,,1.0,,3.0,1,0,,,0,0,,
1231745,POR1,2024-08-19,288705,Leonel Bucca,15130,Estrela,90.0,M,26,6.9,False,False,,0,0.0,,4.0,,40.0,,32,5.0,1.0,4.0,17.0,8.0,1.0,,2.0,1.0,1.0,0,0,,,0,0,,
1231745,POR1,2024-08-19,166726,Gustavo Henrique,15130,Estrela,45.0,M,11,6.9,False,False,,0,0.0,,,,18.0,2.0,12,4.0,,1.0,12.0,7.0,2.0,1.0,,1.0,1.0,0,0,,,0,0,,
1231745,POR1,2024-08-19,41290,Rodrigo Pinho,15130,Estrela,70.0,F,9,6.6,False,False,,0,0.0,,,,3.0,,,,,,4.0,3.0,,,,2.0,,0,0,,,0,0,,
1231745,POR1,2024-08-19,41248,Kikas,15130,Estrela,90.0,F,98,6.2,False,False,,0,0.0,,,,11.0,,8,,,,8.0,,2.0,,,,1.0,1,0,,,0,0,,1.0
1231745,POR1,2024-08-19,126937,Léo Cordeiro,15130,Estrela,45.0,M,22,6.6,False,True,,0,0.0,,,,37.0,2.0,29,2.0,,1.0,11.0,4.0,2.0,1.0,2.0,1.0,1.0,0,0,,,0,0,,
