fixture_id,league_code,match_date,player_id,player_name,team_id,team_name,minutes,position,shirt_number,rating,captain,substitute,goals_scored,goals_conceded,assists,saves,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides
1252419,SAU1,2024-08-22,9557,Mailson,2936,Al Taawon,90.0,G,1,7.2,False,False,,0,0.0,3.0,,,21.0,,18,,,,,,,,,,,0,0,,,0,0,0.0,
1252419,SAU1,2024-08-22,44316,Fahad Bin Jumayah,2936,Al Taawon,90.0,D,14,7.6,False,False,,0,0.0,,,,56.0,1.0,44,3.0,,,13.0,10.0,2.0,1.0,,2.0,1.0,0,0,,,0,0,,
1252419,SAU1,2024-08-22,21097,Andrei Girotto,2936,Al Taawon,90.0,D,3,7.3,False,False,,0,0.0,,,,82.0,,73,4.0,,1.0,6.0,4.0,,,1.0,,1.0,0,0,,,0,0,,
1252419,SAU1,2024-08-22,44337,Waleed Al-Ahmed,2936,Al Taawon,13.0,D,23,6.7,False,False,,0,0.0,,,,13.0,,13,,,,,,,,,,,0,0,,,0,0,,
1252419,SAU1,2024-08-22,296940,Saad Fahad Al Nasser,2936,Al Taawon,59.0,D,8,7.3,False,False,,0,0.0,,,,43.0,,34,2.0,,3.0,8.0,6.0,2.0,1.0,,1.0,,0,0,,,0,0,,1.0
1252419,SAU1,2024-08-22,61408,Ashraf El Mahdioui,2936,Al Taawon,90.0,M,18,8.3,True,False,,0,0.0,,2.0,1.0,96.0,2.0,90,3.0,,2.0,9.0,6.0,,,2.0,,,0,0,,,0,0,,
1252419,SAU1,2024-08-22,44585,Mohammed Al-Kuwaykibi,2936,Al Taawon,59.0,M,7,6.9,False,False,,0,0.0,,1.0,,18.0,,12,3.0,,,7.0,3.0,2.0,,1.0,,,0,0,,,0,0,,
1252419,SAU1,2024-08-22,10033,Flávio,2936,Al Taawon,90.0,M,24,8,False,False,,0,0.0,,,,64.0,1.0,57,7.0,,5.0,13.0,9.0,1.0,1.0,,1.0,2.0,0,0,,,0,0,,
1252419,SAU1,2024-08-22,310391,Ahmed Bahusayn,2936,Al Taawon,45.0,M,29,6.5,False,False,,0,0.0,,,,15.0,,14,,,,4.0,,1.0,,1.0,,1.0,0,0,,,0,0,,
1252419,SAU1,2024-08-22,30437,Musa Barrow,2936,Al Taawon,82.0,M,99,6.7,False,False,,0,0.0,,1.0,,24.0,1.0,18,1.0,,,4.0,2.0,2.0,,,,,0,0,,,0,0,,
1252419,SAU1,2024-08-22,44524,Joao Pedro,2936,Al Taawon,90.0,F,11,6.9,False,False,,0,0.0,,1.0,1.0,24.0,,18,,,,12.0,3.0,2.0,1.0,1.0,2.0,1.0,0,0,,,0,0,,
